"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.283,0.909,"11128",1,20,"-1"
"2",0.305,2.678,"11128",1,20,"1"
"3",-0.144,0.8,"11128",2,20,"-1"
"4",0.382,2.295,"11128",2,20,"1"
"5",-0.342,0.807,"11128",3,20,"-1"
"6",0.565,2.203,"11128",3,20,"1"
"7",0.811,3.798,"11128",4,20,"-1"
"8",0.029,1.105,"11128",4,20,"1"
"9",-0.21,2.233,"11128",5,20,"-1"
"10",0.029,0.751,"11128",5,20,"1"
"11",-1.277,1.037,"11128",6,20,"-1"
"12",1.141,1.186,"11128",6,20,"1"
"13",-1.594,1.153,"11128",7,20,"-1"
"14",0.322,0.971,"11128",7,20,"1"
"15",-0.392,1.855,"11128",8,20,"-1"
"16",0.626,0.768,"11128",8,20,"1"
"17",-0.521,0.789,"11128",9,20,"-1"
"18",1.362,1.028,"11128",9,20,"1"
"19",-0.06,0.866,"11128",10,20,"-1"
"20",1.595,1.889,"11128",10,20,"1"
"21",-0.433,1.035,"11128",11,20,"-1"
"22",2.037,0.882,"11128",11,20,"1"
"23",-0.576,0.694,"11128",12,20,"-1"
"24",1.049,0.722,"11128",12,20,"1"
