"","sample","shape","BetaSigma","Ra","Rq","Rv","Rp","Rx","Rsk","Rku","RzJIS"
"1","10851",1,20,1.31206184053383,1.69328910933278,5.65945330970281,6.32455532033676,11.9840086300396,-0.0278370396590187,3.46427153747767,11.021170269429
"2","10851",2,20,1.29862493716668,1.69571920324429,4.99756038043538,6.78674432089183,11.7843047013272,0.313187084673153,3.8035805651842,10.9803198466626
"3","10851",3,20,1.16115745341991,1.51891233699025,5.01377413078044,4.42718872423571,9.44096285501616,-0.143712923444527,3.39477223332848,8.4957366527241
"4","10851",4,20,1.24985155167918,1.65173600524235,3.88385844691122,4.79682750785631,8.68068595476753,-0.0526718943072173,2.94443128533877,8.06578156029584
"5","10851",5,20,1.37240169790171,1.82847761863303,6.40000000000002,5.65685424949238,12.0568542494924,-0.0966185962197118,3.80854441205326,10.7916328261452
"6","10851",6,20,1.38148430849929,1.90312047166081,5.25225731438886,7.54304719431144,12.7953045087003,1.29893959203616,4.89384508632182,11.7087047217161
"7","10851",7,20,1.1788024849345,1.5146308210669,4.25243733048116,4.57954789436433,8.83198522484549,0.131385222904321,3.14025041882122,7.73557754025973
"8","10851",8,20,1.25379466055027,1.72761830678493,6,4.57954789436435,10.5795478943644,-0.226148977335124,4.3520924968715,9.88943476435366
"9","10851",9,20,1.45509028166069,2.03986233159475,7.09054737442503,6.56532164298613,13.6558690174112,-0.57116135049098,4.68129403739747,12.0860519664183
"10","10851",10,20,1.27682821654597,1.67967265283093,6.32455532033676,6.64078308635356,12.9653384066903,-0.106058684684172,4.11486970308147,10.0607574105942
"11","10851",11,20,1.02007750945248,1.33373531391192,3.90011059071509,3.29665353476847,7.19676412548356,-0.0342822036717653,3.12045264764873,6.50106582060721
"12","10851",12,20,1.20865493095838,1.51549255819993,4,3.53553390593274,7.53553390593274,-0.670209561684051,2.58461388811721,6.70495755438174
"13","10851",13,20,1.17380534806657,1.55284906923942,4.99230176602709,5.82435206036487,10.816653826392,1.02200686605259,4.11356722209035,8.40966634159897
"14","10851",14,20,1.22471565522749,1.61832994106967,4.24264068711928,5.65685424949238,9.89949493661167,1.1489757231517,3.525590199243,7.78771081907826
"15","10851",15,20,1.47278401984484,1.96987891339613,6,6.02009214497278,12.0200921449728,-0.283841047836022,3.75084987113076,10.745293816446
"16","10851",16,20,1.14999121933744,1.5691936562008,4.43760156980188,5.82435206036493,10.2619536301668,0.223786153702719,4.50267249750654,8.9306731592262
"17","10851",17,20,1.28390570894129,1.75089401295082,5.09901951359278,4.56460474064908,9.66362425424186,0.0490324512159198,3.33630629624007,8.46666188340746
"18","10851",18,20,1.20239543465504,1.56839088633704,3.23076923076923,5.40000000000005,8.63076923076928,0.843234400658955,3.44115803310263,7.642629139961
"19","10851",19,20,0.989399646099945,1.30351262552453,4.43760156980188,2.49615088301353,6.93375245281541,-0.904926105700302,4.03818618131493,5.98982035542943
