"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-6.483,2.318,"9972",1,500,"-1",11
"2",1.232,1.991,"9972",1,500,"1",11
"3",-3.719,2.193,"9972",1,500,"-1",10
"4",3.825,2.876,"9972",1,500,"1",10
"5",-4.73,2.651,"9972",1,500,"-1",9
"6",2.731,2.94,"9972",1,500,"1",9
"7",-5.205,1.637,"9972",1,500,"-1",8
"8",-0.304,2.205,"9972",1,500,"1",8
"9",-1.14,2.098,"9972",1,500,"-1",7
"10",3.853,1.091,"9972",1,500,"1",7
"11",-3.431,4.016,"9972",1,500,"-1",6
"12",1.868,1.472,"9972",1,500,"1",6
"13",3.568,2.281,"9972",1,500,"-1",5
"14",12.959,3.462,"9972",1,500,"1",5
"15",-4.557,3.094,"9972",1,500,"-1",4
"16",1.395,2.312,"9972",1,500,"1",4
"17",-0.889,1.181,"9972",1,500,"-1",3
"18",2.378,2.851,"9972",1,500,"1",3
"19",0.22,0.657,"9972",1,500,"-1",2
"20",2.297,0.703,"9972",1,500,"1",2
"21",-3.269,2.594,"9972",1,500,"-1",1
"22",2.449,2.173,"9972",1,500,"1",1
