"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.545,1.065,"10443",1,20,"-1"
"2",0.643,2.905,"10443",1,20,"1"
"3",-0.634,1.247,"10443",2,20,"-1"
"4",2.54,1.287,"10443",2,20,"1"
"5",-1.167,1.132,"10443",3,20,"-1"
"6",1.106,0.92,"10443",3,20,"1"
"7",-0.136,1.073,"10443",4,20,"-1"
"8",-0.834,2.616,"10443",4,20,"1"
"9",-0.803,0.908,"10443",5,20,"-1"
"10",1.447,0.831,"10443",5,20,"1"
"11",-0.782,0.814,"10443",6,20,"-1"
"12",0.838,0.87,"10443",6,20,"1"
"13",-0.992,0.993,"10443",7,20,"-1"
"14",0.914,0.884,"10443",7,20,"1"
"15",-0.108,1.271,"10443",8,20,"-1"
"16",3.528,1.105,"10443",8,20,"1"
"17",-0.719,0.98,"10443",9,20,"-1"
"18",1.416,0.878,"10443",9,20,"1"
