"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-3.466,2.644,"9497",1,500,"-1",89
"2",4.92,6.886,"9497",1,500,"1",89
"3",-3.658,1.792,"9497",1,500,"-1",88
"4",2.434,2.071,"9497",1,500,"1",88
"5",1.46,1.089,"9497",1,500,"-1",87
"6",4.893,0.867,"9497",1,500,"1",87
"7",-1,0,"9497",1,500,"-1",86
"8",-0.333,1.374,"9497",1,500,"1",86
"9",-3.119,1.457,"9497",1,500,"-1",85
"10",0.16,1.372,"9497",1,500,"1",85
"11",-0.835,2.792,"9497",1,500,"-1",84
"12",1.172,1.072,"9497",1,500,"1",84
"13",-6.678,1.977,"9497",1,500,"-1",83
"14",-0.551,2.452,"9497",1,500,"1",83
"15",-5.931,3.166,"9497",1,500,"-1",82
"16",4.451,1.224,"9497",1,500,"1",82
"17",-3.226,1.685,"9497",1,500,"-1",81
"18",1.772,1.897,"9497",1,500,"1",81
"19",-0.448,1.065,"9497",1,500,"-1",80
"20",2.83,1.802,"9497",1,500,"1",80
"21",-1.67,0.975,"9497",1,500,"-1",79
"22",1.184,1.1,"9497",1,500,"1",79
"23",-1.535,1.314,"9497",1,500,"-1",78
"24",2.778,1.343,"9497",1,500,"1",78
"25",-2.65,1.857,"9497",1,500,"-1",77
"26",2.861,2.134,"9497",1,500,"1",77
"27",-3.963,1.847,"9497",1,500,"-1",76
"28",1.292,2.005,"9497",1,500,"1",76
"29",-0.907,1.221,"9497",1,500,"-1",75
"30",3.848,0.933,"9497",1,500,"1",75
"31",-0.239,0.996,"9497",1,500,"-1",74
"32",3.79,1.046,"9497",1,500,"1",74
"33",-0.441,1.101,"9497",1,500,"-1",73
"34",1.767,0.291,"9497",1,500,"1",73
"35",0.785,0.839,"9497",1,500,"-1",72
"36",3.022,0.8,"9497",1,500,"1",72
"37",-2.343,1.476,"9497",1,500,"-1",71
"38",1.677,1.013,"9497",1,500,"1",71
"39",-2.986,1.192,"9497",1,500,"-1",70
"40",-0.561,0.396,"9497",1,500,"1",70
"41",-1.962,0.592,"9497",1,500,"-1",69
"42",0.262,0.538,"9497",1,500,"1",69
"43",-0.112,1.792,"9497",1,500,"-1",68
"44",2.458,4.504,"9497",1,500,"1",68
"45",0.707,0,"9497",1,500,"-1",67
"46",0.707,0.707,"9497",1,500,"1",67
"47",-1.464,3.19,"9497",1,500,"-1",66
"48",6.149,1.442,"9497",1,500,"1",66
"49",-4.952,2.962,"9497",1,500,"-1",65
"50",3.984,2.533,"9497",1,500,"1",65
"51",-0.438,0.696,"9497",1,500,"-1",64
"52",0.617,2.135,"9497",1,500,"1",64
"53",-0.257,1.297,"9497",1,500,"-1",63
"54",3.427,1.06,"9497",1,500,"1",63
"55",-4.377,0.953,"9497",1,500,"-1",62
"56",-0.719,1.404,"9497",1,500,"1",62
"57",-1.951,1.088,"9497",1,500,"-1",61
"58",2.544,1.473,"9497",1,500,"1",61
"59",1.346,0.757,"9497",1,500,"-1",60
"60",4.087,0.815,"9497",1,500,"1",60
"61",-3,0,"9497",1,500,"-1",59
"62",0.529,1.576,"9497",1,500,"1",59
"63",-1.247,1.69,"9497",1,500,"-1",56
"64",2.526,0.937,"9497",1,500,"1",56
"65",-3.479,1.13,"9497",1,500,"-1",55
"66",-0.246,1.179,"9497",1,500,"1",55
"67",-0.79,3.45,"9497",1,500,"-1",54
"68",8.166,2.266,"9497",1,500,"1",54
"69",-2.259,0.373,"9497",1,500,"-1",53
"70",-0.95,0.514,"9497",1,500,"1",53
"71",0.075,2.335,"9497",1,500,"-1",52
"72",5.696,1.238,"9497",1,500,"1",52
"73",-1.277,0.931,"9497",1,500,"-1",51
"74",-0.488,3.803,"9497",1,500,"1",51
"75",-0.594,0.397,"9497",1,500,"-1",50
"76",0.573,0.401,"9497",1,500,"1",50
"77",-2.316,3.682,"9497",1,500,"-1",49
"78",9.378,1.539,"9497",1,500,"1",49
"79",-0.72,0.893,"9497",1,500,"-1",48
"80",1.433,0.741,"9497",1,500,"1",48
"81",-3.704,3.486,"9497",1,500,"-1",47
"82",4.36,3.028,"9497",1,500,"1",47
"83",-6.79,1.281,"9497",1,500,"-1",46
"84",-1.977,1.654,"9497",1,500,"1",46
"85",-6.805,1.76,"9497",1,500,"-1",45
"86",2.973,2.53,"9497",1,500,"1",45
"87",-3.136,0.843,"9497",1,500,"-1",44
"88",-0.902,0.304,"9497",1,500,"1",44
"89",-0.353,3.855,"9497",1,500,"-1",43
"90",2.601,1.367,"9497",1,500,"1",43
"91",-1.649,2.446,"9497",1,500,"-1",42
"92",-0.571,0.551,"9497",1,500,"1",42
"93",-1.793,1.359,"9497",1,500,"-1",41
"94",2.75,1.135,"9497",1,500,"1",41
"95",-3.188,2.496,"9497",1,500,"-1",40
"96",2.28,2.115,"9497",1,500,"1",40
"97",-0.51,1.138,"9497",1,500,"-1",39
"98",2.282,0.344,"9497",1,500,"1",39
"99",-12.376,4.152,"9497",1,500,"-1",38
"100",3.873,6.306,"9497",1,500,"1",38
"101",-3.773,5.103,"9497",1,500,"-1",37
"102",-0.258,1.407,"9497",1,500,"1",37
"103",-4.88,1.079,"9497",1,500,"-1",36
"104",-0.083,1.25,"9497",1,500,"1",36
"105",-1.044,1.217,"9497",1,500,"-1",35
"106",4.673,1.829,"9497",1,500,"1",35
"107",-1.201,2.034,"9497",1,500,"-1",34
"108",4.342,1.814,"9497",1,500,"1",34
"109",-1.785,2.183,"9497",1,500,"-1",33
"110",4.573,0.853,"9497",1,500,"1",33
"111",-3.889,2.659,"9497",1,500,"-1",32
"112",2.338,2.201,"9497",1,500,"1",32
"113",0.509,5.501,"9497",1,500,"-1",30
"114",0.513,5.506,"9497",1,500,"1",30
"115",-7.47,3.103,"9497",1,500,"-1",29
"116",1.922,2.942,"9497",1,500,"1",29
"117",-3.553,2.326,"9497",1,500,"-1",28
"118",7.983,1.668,"9497",1,500,"1",28
"119",-8.371,2.729,"9497",1,500,"-1",27
"120",0.942,3.632,"9497",1,500,"1",27
"121",-0.743,0.214,"9497",1,500,"-1",26
"122",0.427,0.396,"9497",1,500,"1",26
"123",-2.169,1.404,"9497",1,500,"-1",25
"124",2.476,1.31,"9497",1,500,"1",25
"125",-0.84,2.792,"9497",1,500,"-1",24
"126",6.805,0.775,"9497",1,500,"1",24
"127",-1.494,0.827,"9497",1,500,"-1",23
"128",3.448,1.26,"9497",1,500,"1",23
"129",-1.02,1.865,"9497",1,500,"-1",21
"130",3.489,1.662,"9497",1,500,"1",21
"131",-0.094,0.949,"9497",1,500,"-1",20
"132",2.928,1.308,"9497",1,500,"1",20
"133",-0.256,0.997,"9497",1,500,"-1",19
"134",2.458,1.992,"9497",1,500,"1",19
"135",-2.188,1.318,"9497",1,500,"-1",18
"136",2.785,2.033,"9497",1,500,"1",18
"137",-2.833,2.396,"9497",1,500,"-1",17
"138",3.764,2.033,"9497",1,500,"1",17
"139",1.196,0.447,"9497",1,500,"-1",16
"140",1.895,1.014,"9497",1,500,"1",16
"141",-0.442,2.864,"9497",1,500,"-1",15
"142",6.394,0.883,"9497",1,500,"1",15
"143",-0.609,1.073,"9497",1,500,"-1",14
"144",2.327,2.799,"9497",1,500,"1",14
"145",-1.738,1.892,"9497",1,500,"-1",13
"146",4.341,1.717,"9497",1,500,"1",13
"147",-3.641,2.121,"9497",1,500,"-1",12
"148",3.195,1.9,"9497",1,500,"1",12
"149",1.001,1.005,"9497",1,500,"-1",11
"150",2.793,4.396,"9497",1,500,"1",11
"151",-2.013,2.522,"9497",1,500,"-1",10
"152",3.555,0.925,"9497",1,500,"1",10
"153",-1.495,3.82,"9497",1,500,"-1",9
"154",0.23,0.907,"9497",1,500,"1",9
"155",-2.027,3.459,"9497",1,500,"-1",8
"156",8.354,1.887,"9497",1,500,"1",8
"157",-5.239,1.392,"9497",1,500,"-1",7
"158",1.257,2.588,"9497",1,500,"1",7
"159",-2.495,0.963,"9497",1,500,"-1",6
"160",0.229,1.237,"9497",1,500,"1",6
"161",-1.784,1.703,"9497",1,500,"-1",5
"162",4.474,0.632,"9497",1,500,"1",5
"163",-3.939,5.105,"9497",1,500,"-1",4
"164",2.803,1.268,"9497",1,500,"1",4
"165",-2.994,1.802,"9497",1,500,"-1",3
"166",1.822,1.428,"9497",1,500,"1",3
"167",1.266,0.992,"9497",1,500,"-1",2
"168",4.674,0.964,"9497",1,500,"1",2
"169",-3.101,0.668,"9497",1,500,"-1",1
"170",2.007,1.798,"9497",1,500,"1",1
