"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-3.032,2.042,"10411",1,500,"-1",39
"2",2.929,2.118,"10411",1,500,"1",39
"3",-2.085,1.647,"10411",1,500,"-1",38
"4",3.724,2.08,"10411",1,500,"1",38
"5",-3.931,3.148,"10411",1,500,"-1",37
"6",7.765,2.28,"10411",1,500,"1",37
"7",-1.375,1.798,"10411",1,500,"-1",36
"8",2.458,1.182,"10411",1,500,"1",36
"9",-3.07,2.893,"10411",1,500,"-1",35
"10",8.694,2.549,"10411",1,500,"1",35
"11",-4.022,1.575,"10411",1,500,"-1",34
"12",0.438,2.018,"10411",1,500,"1",34
"13",-2.427,1.718,"10411",1,500,"-1",33
"14",3.164,1.71,"10411",1,500,"1",33
"15",-3.825,3.078,"10411",1,500,"-1",32
"16",3.206,1.726,"10411",1,500,"1",32
"17",-0.997,1.038,"10411",1,500,"-1",31
"18",2.588,0.934,"10411",1,500,"1",31
"19",-1.71,0.831,"10411",1,500,"-1",30
"20",0.803,0.629,"10411",1,500,"1",30
"21",-3.591,0.796,"10411",1,500,"-1",29
"22",-0.64,1.179,"10411",1,500,"1",29
"23",-0.553,1.479,"10411",1,500,"-1",28
"24",3.217,3.491,"10411",1,500,"1",28
"25",-0.413,0.818,"10411",1,500,"-1",27
"26",1.633,3.279,"10411",1,500,"1",27
"27",-1.656,2.701,"10411",1,500,"-1",26
"28",4.776,1.69,"10411",1,500,"1",26
"29",-4.68,0.85,"10411",1,500,"-1",25
"30",2.49,1.676,"10411",1,500,"1",25
"31",-5.583,2.847,"10411",1,500,"-1",24
"32",3.687,3.264,"10411",1,500,"1",24
"33",-2.208,1.912,"10411",1,500,"-1",22
"34",2.525,1.355,"10411",1,500,"1",22
"35",-4.318,2.383,"10411",1,500,"-1",21
"36",1.757,2.415,"10411",1,500,"1",21
"37",-0.204,0.649,"10411",1,500,"-1",20
"38",1.146,1.991,"10411",1,500,"1",20
"39",-1.373,0.685,"10411",1,500,"-1",19
"40",1.097,0.789,"10411",1,500,"1",19
"41",-3.03,1.56,"10411",1,500,"-1",18
"42",3.163,1.81,"10411",1,500,"1",18
"43",-3.596,1.016,"10411",1,500,"-1",17
"44",0.019,1.312,"10411",1,500,"1",17
"45",-4.986,1.029,"10411",1,500,"-1",16
"46",-0.071,1.759,"10411",1,500,"1",16
"47",-1.67,0.546,"10411",1,500,"-1",15
"48",-0.364,0.309,"10411",1,500,"1",15
"49",-1.553,2.768,"10411",1,500,"-1",14
"50",6.362,1.133,"10411",1,500,"1",14
"51",-0.567,2.048,"10411",1,500,"-1",13
"52",4.047,0.803,"10411",1,500,"1",13
"53",-5.196,1.531,"10411",1,500,"-1",12
"54",0.307,2.454,"10411",1,500,"1",12
"55",-4.585,1.049,"10411",1,500,"-1",11
"56",1.384,2.146,"10411",1,500,"1",11
"57",-1.632,2.876,"10411",1,500,"-1",10
"58",5.525,1.734,"10411",1,500,"1",10
"59",-3.973,1.687,"10411",1,500,"-1",9
"60",2.352,2.6,"10411",1,500,"1",9
"61",-3.675,0.984,"10411",1,500,"-1",8
"62",-0.414,1.027,"10411",1,500,"1",8
"63",-1.89,1.954,"10411",1,500,"-1",7
"64",3.509,1.799,"10411",1,500,"1",7
"65",-0.618,0.745,"10411",1,500,"-1",6
"66",0.469,2.258,"10411",1,500,"1",6
"67",-2.087,2.12,"10411",1,500,"-1",5
"68",4.052,1.77,"10411",1,500,"1",5
"69",-4.233,0.832,"10411",1,500,"-1",4
"70",0.667,2.037,"10411",1,500,"1",4
"71",-7.547,1.484,"10411",1,500,"-1",3
"72",0.155,4.228,"10411",1,500,"1",3
"73",-2.143,1.081,"10411",1,500,"-1",2
"74",-1.46,3.305,"10411",1,500,"1",2
"75",-2.79,1.464,"10411",1,500,"-1",1
"76",1.898,1.702,"10411",1,500,"1",1
