"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.268,1.01,"11286",1,20,"-1"
"2",0.441,3.063,"11286",1,20,"1"
"3",-0.137,1.098,"11286",2,20,"-1"
"4",0.543,3.164,"11286",2,20,"1"
"5",-1.423,1.322,"11286",3,20,"-1"
"6",1.058,1.161,"11286",3,20,"1"
"7",-0.111,0.956,"11286",4,20,"-1"
"8",0.396,2.741,"11286",4,20,"1"
"9",-0.781,2.32,"11286",5,20,"-1"
"10",0.211,0.833,"11286",5,20,"1"
"11",-0.985,0.956,"11286",6,20,"-1"
"12",1.102,0.963,"11286",6,20,"1"
"13",-0.292,0.865,"11286",7,20,"-1"
"14",1.122,2.316,"11286",7,20,"1"
