"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-1.311,1.129,"10851",1,20,"-1"
"2",1.135,1.203,"10851",1,20,"1"
"3",-0.377,0.874,"10851",2,20,"-1"
"4",0.602,2.22,"10851",2,20,"1"
"5",-0.062,0.955,"10851",3,20,"-1"
"6",0.201,2.399,"10851",3,20,"1"
"7",-1.563,1.109,"10851",4,20,"-1"
"8",0.912,1.155,"10851",4,20,"1"
"9",-0.124,0.921,"10851",5,20,"-1"
"10",0.223,2.74,"10851",5,20,"1"
"11",-0.033,1.143,"10851",6,20,"-1"
"12",2.373,2.747,"10851",6,20,"1"
"13",-1.257,1.016,"10851",7,20,"-1"
"14",0.925,1.099,"10851",7,20,"1"
"15",-0.244,0.833,"10851",8,20,"-1"
"16",0.518,2.645,"10851",8,20,"1"
"17",-0.101,1.136,"10851",9,20,"-1"
"18",-1.056,3.803,"10851",9,20,"1"
"19",-0.654,0.88,"10851",10,20,"-1"
"20",0.695,2.211,"10851",10,20,"1"
"21",-1.05,0.872,"10851",11,20,"-1"
"22",0.883,0.957,"10851",11,20,"1"
"23",-1.215,1.02,"10851",12,20,"-1"
"24",0.966,0.983,"10851",12,20,"1"
"25",-0.576,0.737,"10851",13,20,"-1"
"26",1.452,1.445,"10851",13,20,"1"
"27",-0.316,0.985,"10851",14,20,"-1"
"28",2.129,1.018,"10851",14,20,"1"
"29",-0.493,0.821,"10851",15,20,"-1"
"30",0.154,2.686,"10851",15,20,"1"
"31",-0.322,2.682,"10851",16,20,"-1"
"32",0.089,0.858,"10851",16,20,"1"
"33",-2.402,1.187,"10851",17,20,"-1"
"34",0.861,1.2,"10851",17,20,"1"
"35",-0.83,0.894,"10851",18,20,"-1"
"36",1.477,1.216,"10851",18,20,"1"
"37",-1.245,1.119,"10851",19,20,"-1"
"38",0.648,0.79,"10851",19,20,"1"
