"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.638,1.1,"9529",1,20,"-1"
"2",0.714,2.873,"9529",1,20,"1"
"3",0.977,3.003,"9529",2,20,"-1"
"4",0.189,1.081,"9529",2,20,"1"
"5",-0.226,0.974,"9529",3,20,"-1"
"6",0.184,2.995,"9529",3,20,"1"
"7",-0.449,1.145,"9529",4,20,"-1"
"8",2.154,0.859,"9529",4,20,"1"
"9",-0.861,1.233,"9529",5,20,"-1"
"10",2.067,0.994,"9529",5,20,"1"
"11",-0.137,1.137,"9529",6,20,"-1"
"12",1.638,3.023,"9529",6,20,"1"
"13",-0.128,0.755,"9529",7,20,"-1"
"14",0.613,1.905,"9529",7,20,"1"
"15",-0.519,0.877,"9529",8,20,"-1"
"16",1.04,1.863,"9529",8,20,"1"
"17",-0.442,0.855,"9529",9,20,"-1"
"18",1.542,0.964,"9529",9,20,"1"
"19",-0.08,0.844,"9529",10,20,"-1"
"20",-0.695,2.191,"9529",10,20,"1"
"21",-0.324,2.372,"9529",11,20,"-1"
"22",-0.221,0.768,"9529",11,20,"1"
"23",-0.31,2.073,"9529",12,20,"-1"
"24",0.334,0.788,"9529",12,20,"1"
"25",-1.085,0.773,"9529",13,20,"-1"
"26",0.971,1.129,"9529",13,20,"1"
