"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-1.047,1.449,"11127",1,20,"-1"
"2",2.119,1.449,"11127",1,20,"1"
"3",-0.256,0.976,"11127",2,20,"-1"
"4",0.259,3.211,"11127",2,20,"1"
"5",-0.923,1.121,"11127",3,20,"-1"
"6",1.406,1.034,"11127",3,20,"1"
"7",-0.069,2.334,"11127",4,20,"-1"
"8",-0.064,0.807,"11127",4,20,"1"
"9",-0.053,0.796,"11127",5,20,"-1"
"10",-0.231,2.861,"11127",5,20,"1"
"11",-2.028,1.415,"11127",6,20,"-1"
"12",0.669,1.174,"11127",6,20,"1"
"13",-0.607,0.768,"11127",7,20,"-1"
"14",1.429,0.825,"11127",7,20,"1"
