"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.116,1.141,"11036",1,20,"-1"
"2",0.005,3.499,"11036",1,20,"1"
"3",-0.395,0.867,"11036",2,20,"-1"
"4",0.529,2.794,"11036",2,20,"1"
"5",-0.651,2.308,"11036",3,20,"-1"
"6",0.212,0.818,"11036",3,20,"1"
"7",-0.281,1.006,"11036",4,20,"-1"
"8",2.564,1.172,"11036",4,20,"1"
"9",1.064,2.16,"11036",5,20,"-1"
"10",0.123,0.885,"11036",5,20,"1"
"11",-0.048,0.782,"11036",6,20,"-1"
"12",0.305,2.636,"11036",6,20,"1"
"13",-0.134,0.939,"11036",7,20,"-1"
"14",1.172,2.083,"11036",7,20,"1"
"15",-0.878,0.951,"11036",8,20,"-1"
"16",1.07,0.883,"11036",8,20,"1"
