"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.516,1.155,"11351",1,20,"-1"
"2",0.641,3.268,"11351",1,20,"1"
"3",-0.256,0.989,"11351",2,20,"-1"
"4",1.762,1.936,"11351",2,20,"1"
"5",-0.383,1.252,"11351",3,20,"-1"
"6",2.683,1.076,"11351",3,20,"1"
"7",-0.854,1.045,"11351",4,20,"-1"
"8",1.475,1.158,"11351",4,20,"1"
"9",-1.416,0.99,"11351",5,20,"-1"
"10",0.8,1.035,"11351",5,20,"1"
"11",-0.995,0.809,"11351",6,20,"-1"
"12",0.802,0.744,"11351",6,20,"1"
"13",-0.362,0.935,"11351",7,20,"-1"
"14",1.641,1.706,"11351",7,20,"1"
