"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-0.324,2.901,"9723",1,500,"-1",29
"2",-0.288,0.882,"9723",1,500,"1",29
"3",-1.375,1.012,"9723",1,500,"-1",28
"4",2.017,2.903,"9723",1,500,"1",28
"5",-4.705,1.828,"9723",1,500,"-1",27
"6",1.595,2.131,"9723",1,500,"1",27
"7",0.178,1.326,"9723",1,500,"-1",26
"8",1.307,5.081,"9723",1,500,"1",26
"9",-0.869,1.17,"9723",1,500,"-1",25
"10",4.098,1.948,"9723",1,500,"1",25
"11",0.33,0.9,"9723",1,500,"-1",24
"12",2.799,0.748,"9723",1,500,"1",24
"13",-2.215,0.756,"9723",1,500,"-1",23
"14",0.093,0.931,"9723",1,500,"1",23
"15",0.471,0.667,"9723",1,500,"-1",22
"16",0.707,0,"9723",1,500,"1",22
"17",-15.584,3.25,"9723",1,500,"-1",21
"18",0.785,6.854,"9723",1,500,"1",21
"19",-1.919,1.375,"9723",1,500,"-1",20
"20",1.951,1.38,"9723",1,500,"1",20
"21",-2.933,1.029,"9723",1,500,"-1",19
"22",0.58,1.23,"9723",1,500,"1",19
"23",-8.551,1.701,"9723",1,500,"-1",18
"24",-2.788,5.218,"9723",1,500,"1",18
"25",-1.661,0.636,"9723",1,500,"-1",17
"26",0.527,0.717,"9723",1,500,"1",17
"27",-3.213,1.325,"9723",1,500,"-1",16
"28",-0.018,1.428,"9723",1,500,"1",16
"29",-0.759,0.637,"9723",1,500,"-1",15
"30",1.547,1.068,"9723",1,500,"1",15
"31",-3.615,1.599,"9723",1,500,"-1",14
"32",1.384,1.603,"9723",1,500,"1",14
"33",-3.916,2.075,"9723",1,500,"-1",13
"34",2.784,1.942,"9723",1,500,"1",13
"35",-3.192,0.864,"9723",1,500,"-1",12
"36",-1.002,0.67,"9723",1,500,"1",12
"37",-0.847,1.26,"9723",1,500,"-1",11
"38",2.768,0.913,"9723",1,500,"1",11
"39",-1.956,1.285,"9723",1,500,"-1",10
"40",3.814,1.083,"9723",1,500,"1",10
"41",-1.528,1.59,"9723",1,500,"-1",9
"42",2.405,0.922,"9723",1,500,"1",9
"43",-3.56,3.062,"9723",1,500,"-1",8
"44",3.43,2.374,"9723",1,500,"1",8
"45",-1.703,1.613,"9723",1,500,"-1",7
"46",2.489,1.197,"9723",1,500,"1",7
"47",-2.257,1.805,"9723",1,500,"-1",6
"48",2.604,1.66,"9723",1,500,"1",6
"49",-2.955,1.746,"9723",1,500,"-1",5
"50",1.129,1.494,"9723",1,500,"1",5
"51",-3.596,3.198,"9723",1,500,"-1",4
"52",7.488,1.76,"9723",1,500,"1",4
"53",-1.867,1.427,"9723",1,500,"-1",3
"54",2.059,1.337,"9723",1,500,"1",3
"55",0.471,0.667,"9723",1,500,"-1",2
"56",0.707,0,"9723",1,500,"1",2
"57",-1.47,2.051,"9723",1,500,"-1",1
"58",4.739,1.955,"9723",1,500,"1",1
