"","sample","shape","BetaSigma","Ra","Rq","Rv","Rp","Rx","Rsk","Rku","RzJIS"
"1","10380",1,20,1.49563191833217,1.95783989470936,8.32050294337844,8.14401136637505,16.4645143097535,0.0655216576985979,3.66900975737158,14.9303528668945
"2","10380",2,20,1.46789573186363,1.94093980957345,8.53814968245464,8.22192191643775,16.7600715988924,0.705488174887061,4.19087189603672,14.8958365603901
"3","10380",3,20,1.36696369483615,1.79862051009042,5.33217941235022,6.36396103067893,11.6961404430292,0.204757611059511,3.43687943568094,10.8135775080135
"4","10380",4,20,1.47102695623352,1.9067860841169,6.80756817151323,6.3737525527403,13.1813207242535,0.106890879261389,3.26767874812793,12.0714172694976
"5","10380",5,20,1.43219842812417,1.82113243054451,5.01628746502234,6.36028259205657,11.3765700570789,0.373910049574666,3.04874377769532,10.1551290057112
"6","10380",6,20,1.52631903830131,2.01395882027512,6.9706447076616,7.19550421436032,14.1661489220219,0.174526839583184,3.48932171000303,13.0036558327134
"7","10380",7,20,1.47463108575889,2.00626849891741,7.74144277933589,9,16.7414427793359,0.738492915651707,4.7351806635814,15.7702638304775
"8","10380",8,20,1.14589405071707,1.59078862954502,7.38777421966806,4.16844244397822,11.5562166636463,-1.2946164378511,5.82445158896069,10.4879222398898
"9","10380",9,20,1.48436427267646,2.02310985344701,7.63414108574104,7.79154605658105,15.4256871423221,-0.00182495500820859,5.02277233366401,14.3698016871009
"10","10380",10,20,1.28941645080919,1.72419024591857,6.93375245281535,5.73013810990811,12.6638905627235,-0.0564589553855954,4.1761661960667,11.572056563724
"11","10380",11,20,1.30159644758487,1.71370928750466,6.56822945893765,5.82435206036487,12.3925815193025,0.344173298804598,3.61117434570667,10.9699482501285
"12","10380",12,20,1.15239307151319,1.5428147379299,3.60555127546399,6.34544765027287,9.95099892573685,1.0318957761808,4.38560200700663,8.82502744793843
"13","10380",13,20,1.3824699697712,1.83497111909849,6.70820393249937,6.26099033699941,12.9691942694988,-0.113190619758951,3.68440549654075,11.1438613975842
"14","10380",14,20,1.17589735469588,1.51379896689697,4.59999999999995,4.46285765464186,9.06285765464182,0.280647323627711,3.08275862404005,8.07529794326158
"15","10380",15,20,1.07480726868873,1.42398984833851,3.82261161387888,5.37587202228625,9.19848363616513,0.699307971707182,4.05668011147564,8.0830448050904
"16","10380",16,20,1.09572396736287,1.49424338011656,3.77609364935918,5.89955132890234,9.67564497826153,0.268968324545899,4.23334893533662,8.93227107568849
"17","10380",17,20,0.997402883498395,1.36010786772825,5.37587202228617,3.53553390593274,8.91140592821891,-1.08284754124439,4.8182183099014,7.56183078361168
"18","10380",18,20,0.909888287729266,1.19911038681143,3.57770876399971,4.23999152002545,7.81770028402517,0.24832878130581,3.58621435558515,6.48629452989301
"19","10380",19,20,1.15817131275456,1.50155688876413,4.2,4.24264068711928,8.44264068711928,0.760543016987656,3.08802517329693,7.23119963068652
"20","10380",20,20,1.17778986204934,1.59645580261287,6.46450376418778,5.12602569347718,11.590529457665,-0.394560803828829,4.92705884425637,10.24605463927
"21","10380",21,20,1.31236044249555,1.78659243689238,5.02442168592652,5,10.0244216859265,-0.723445125624504,3.80031678555596,9.40008420033142
"22","10380",22,20,1.11837642108659,1.49649654891938,3.53553390593274,5.65685424949238,9.19238815542512,0.56483402359015,4.32612606153905,7.99419687344178
"23","10380",23,20,1.20208217163512,1.55324748688532,4.03102304107524,4.69477285854253,8.72579589961778,0.762249378832072,3.21999163001257,7.18669045565763
