"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.16,3.443,"9528",1,20,"-1"
"2",-0.073,1.151,"9528",1,20,"1"
"3",0.02,0.856,"9528",2,20,"-1"
"4",0.163,2.308,"9528",2,20,"1"
"5",-0.978,0.884,"9528",3,20,"-1"
"6",0.975,1.947,"9528",3,20,"1"
"7",-0.609,0.783,"9528",4,20,"-1"
"8",1.075,1.888,"9528",4,20,"1"
"9",-0.507,0.702,"9528",5,20,"-1"
"10",0.757,1.917,"9528",5,20,"1"
"11",-0.308,1.038,"9528",6,20,"-1"
"12",3.469,1.542,"9528",6,20,"1"
"13",-0.693,1.055,"9528",7,20,"-1"
"14",1.699,0.917,"9528",7,20,"1"
"15",-0.665,0.969,"9528",8,20,"-1"
"16",1.586,1.362,"9528",8,20,"1"
"17",-0.08,2.082,"9528",9,20,"-1"
"18",0.15,0.828,"9528",9,20,"1"
