"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.276,1.027,"10997",1,20,"-1"
"2",0.472,2.883,"10997",1,20,"1"
"3",1.212,2.921,"10997",2,20,"-1"
"4",0.068,1.117,"10997",2,20,"1"
"5",-0.106,2.368,"10997",3,20,"-1"
"6",-0.163,0.726,"10997",3,20,"1"
"7",-1.254,0.998,"10997",4,20,"-1"
"8",0.965,1.064,"10997",4,20,"1"
"9",-0.069,0.81,"10997",5,20,"-1"
"10",-0.64,2.228,"10997",5,20,"1"
"11",-0.529,2.59,"10997",6,20,"-1"
"12",0.058,0.921,"10997",6,20,"1"
"13",-2.32,0.877,"10997",7,20,"-1"
"14",0.043,1.069,"10997",7,20,"1"
