"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.272,0.803,"11460",1,20,"-1"
"2",0.651,2.506,"11460",1,20,"1"
"3",-0.388,1.05,"11460",2,20,"-1"
"4",1.512,2.556,"11460",2,20,"1"
"5",-1.201,0.918,"11460",3,20,"-1"
"6",0.956,1.052,"11460",3,20,"1"
"7",-0.922,0.984,"11460",4,20,"-1"
"8",1.194,2.073,"11460",4,20,"1"
"9",-1.554,1.067,"11460",5,20,"-1"
"10",0.734,0.954,"11460",5,20,"1"
"11",-0.772,0.876,"11460",6,20,"-1"
"12",1.446,1.045,"11460",6,20,"1"
"13",-0.228,0.688,"11460",7,20,"-1"
"14",0.295,2.145,"11460",7,20,"1"
