"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model"
"1",0.942827900384645,0.0571720996153551,0.0904923636778013,0.909507636322199,"11391",1,20,"sign"
"2",0.79466929911155,0.20533070088845,0.204926108374384,0.795073891625616,"11391",1,20,"gaussian"
"3",0.922183732069184,0.0778162679308162,0.135077666380276,0.864922333619724,"11391",2,20,"sign"
"4",0.765285996055227,0.234714003944773,0.176211453744493,0.823788546255507,"11391",2,20,"gaussian"
"5",0.929130437877065,0.0708695621229349,0.0834042650530006,0.916595734946999,"11391",3,20,"sign"
"6",0.791411042944785,0.208588957055215,0.193181818181818,0.806818181818182,"11391",3,20,"gaussian"
"7",0.9318479098459,0.0681520901540997,0.016993779966883,0.983006220033117,"11391",4,20,"sign"
"8",0.738095238095238,0.261904761904762,0.107843137254902,0.892156862745098,"11391",4,20,"gaussian"
"9",0.937411187395512,0.0625888126044879,0.148062970551681,0.851937029448319,"11391",5,20,"sign"
"10",0.768844221105528,0.231155778894472,0.199152542372881,0.800847457627119,"11391",5,20,"gaussian"
"11",0.92595170089024,0.0740482991097603,0.126176067473682,0.873823932526318,"11391",6,20,"sign"
"12",0.770642201834862,0.229357798165138,0.151515151515152,0.848484848484849,"11391",6,20,"gaussian"
