"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model"
"1",0.923093597915734,0.0769064020842654,0.103277578446642,0.896722421553358,"9465",1,20,"sign"
"2",0.796885813148789,0.203114186851211,0.177824901544986,0.822175098455014,"9465",1,20,"gaussian"
"3",0.910248480570986,0.0897515194290138,0.043223744444499,0.956776255555501,"9465",2,20,"sign"
"4",0.805385556915545,0.194614443084455,0.210947930574099,0.789052069425901,"9465",2,20,"gaussian"
"5",0.878766363928722,0.121233636071278,0.0461516970963153,0.953848302903685,"9465",3,20,"sign"
"6",0.778409090909091,0.221590909090909,0.147727272727273,0.852272727272727,"9465",3,20,"gaussian"
"7",0.944524136315352,0.0554758636846478,0.131889256543706,0.868110743456294,"9465",4,20,"sign"
"8",0.775,0.225,0.183139534883721,0.816860465116279,"9465",4,20,"gaussian"
"9",0.910369886462248,0.0896301135377521,0.0836977372999699,0.91630226270003,"9465",5,20,"sign"
"10",0.742081447963801,0.257918552036199,0.188741721854305,0.811258278145695,"9465",5,20,"gaussian"
"11",0.917320316331316,0.0826796836686843,0.109991126768302,0.890008873231698,"9465",6,20,"sign"
"12",0.788659793814433,0.211340206185567,0.187214611872146,0.812785388127854,"9465",6,20,"gaussian"
