"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.295,1.103,"11326",1,20,"-1"
"2",0.489,3.219,"11326",1,20,"1"
"3",0.011,1.007,"11326",2,20,"-1"
"4",0.169,3.286,"11326",2,20,"1"
"5",-0.183,1.01,"11326",3,20,"-1"
"6",-0.209,2.687,"11326",3,20,"1"
"7",-0.779,1.113,"11326",4,20,"-1"
"8",1.947,0.946,"11326",4,20,"1"
"9",-0.974,0.749,"11326",5,20,"-1"
"10",0.912,0.783,"11326",5,20,"1"
"11",-0.188,0.584,"11326",6,20,"-1"
"12",0.015,1.7,"11326",6,20,"1"
"13",-0.573,0.664,"11326",7,20,"-1"
"14",1.272,0.679,"11326",7,20,"1"
"15",-0.845,0.97,"11326",8,20,"-1"
"16",1.337,1.15,"11326",8,20,"1"
