"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-4.163,10.818,"10636",1,500,"-1",27
"2",1.288,2.19,"10636",1,500,"1",27
"3",-1.296,2.212,"10636",1,500,"-1",26
"4",3.056,1.316,"10636",1,500,"1",26
"5",-3.598,1.022,"10636",1,500,"-1",25
"6",0.222,2.179,"10636",1,500,"1",25
"7",-1.25,1.506,"10636",1,500,"-1",24
"8",3.074,1.18,"10636",1,500,"1",24
"9",-3.337,0.735,"10636",1,500,"-1",22
"10",-0.273,1.435,"10636",1,500,"1",22
"11",2.317,1.361,"10636",1,500,"-1",21
"12",5.876,0.631,"10636",1,500,"1",21
"13",-1.031,1.839,"10636",1,500,"-1",20
"14",4.452,1.488,"10636",1,500,"1",20
"15",-1.892,2.268,"10636",1,500,"-1",19
"16",1.926,6.893,"10636",1,500,"1",19
"17",0.187,0.866,"10636",1,500,"-1",18
"18",2.916,0.733,"10636",1,500,"1",18
"19",-1.707,2.572,"10636",1,500,"-1",17
"20",3.611,1.755,"10636",1,500,"1",17
"21",-2.919,0.624,"10636",1,500,"-1",16
"22",0.206,0.85,"10636",1,500,"1",16
"23",-1.181,1.239,"10636",1,500,"-1",15
"24",2.198,1.018,"10636",1,500,"1",15
"25",-1.67,1.148,"10636",1,500,"-1",14
"26",1.324,0.938,"10636",1,500,"1",14
"27",-10.319,3.088,"10636",1,500,"-1",13
"28",-2.237,1.416,"10636",1,500,"1",13
"29",-4.869,3.153,"10636",1,500,"-1",12
"30",4.906,3.112,"10636",1,500,"1",12
"31",-3.525,0.856,"10636",1,500,"-1",11
"32",1.237,1.013,"10636",1,500,"1",11
"33",-2.075,0.838,"10636",1,500,"-1",10
"34",0.702,0.703,"10636",1,500,"1",10
"35",-1.261,1.839,"10636",1,500,"-1",9
"36",3.435,0.736,"10636",1,500,"1",9
"37",-6.678,2.093,"10636",1,500,"-1",8
"38",0.847,2.274,"10636",1,500,"1",8
"39",-2.166,2.237,"10636",1,500,"-1",7
"40",2.892,2.003,"10636",1,500,"1",7
"41",-2.974,2.798,"10636",1,500,"-1",6
"42",2.933,1.6,"10636",1,500,"1",6
"43",-4.783,0.857,"10636",1,500,"-1",5
"44",-0.893,1.426,"10636",1,500,"1",5
"45",-0.12,1.491,"10636",1,500,"-1",3
"46",3.641,4.492,"10636",1,500,"1",3
"47",-3.581,2.843,"10636",1,500,"-1",2
"48",3.642,2.145,"10636",1,500,"1",2
"49",-0.861,0.559,"10636",1,500,"-1",1
"50",0.641,0.632,"10636",1,500,"1",1
