"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.424,1.033,"10989",1,20,"-1"
"2",0.527,2.854,"10989",1,20,"1"
"3",-0.774,1.341,"10989",2,20,"-1"
"4",2.37,1.539,"10989",2,20,"1"
"5",-0.83,1.306,"10989",3,20,"-1"
"6",2.143,1.338,"10989",3,20,"1"
"7",-0.329,0.678,"10989",4,20,"-1"
"8",0.424,2.267,"10989",4,20,"1"
"9",-0.653,0.863,"10989",5,20,"-1"
"10",1.368,0.846,"10989",5,20,"1"
"11",-0.402,0.768,"10989",6,20,"-1"
"12",1.712,1.298,"10989",6,20,"1"
"13",-0.734,0.666,"10989",7,20,"-1"
"14",1.015,0.773,"10989",7,20,"1"
"15",-0.802,0.967,"10989",8,20,"-1"
"16",1.022,0.789,"10989",8,20,"1"
