"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-2.039,1.702,"9967",1,500,"-1",57
"2",3.163,1.307,"9967",1,500,"1",57
"3",-4.864,1.693,"9967",1,500,"-1",56
"4",1.108,1.753,"9967",1,500,"1",56
"5",-1.831,0.305,"9967",1,500,"-1",55
"6",-0.634,0.428,"9967",1,500,"1",55
"7",-0.216,2.697,"9967",1,500,"-1",54
"8",5.485,1.162,"9967",1,500,"1",54
"9",-3.056,2.156,"9967",1,500,"-1",53
"10",2.917,2.289,"9967",1,500,"1",53
"11",-0.099,1.685,"9967",1,500,"-1",52
"12",4.875,0.972,"9967",1,500,"1",52
"13",-2.32,2.855,"9967",1,500,"-1",51
"14",5.491,2.857,"9967",1,500,"1",51
"15",1.439,0.765,"9967",1,500,"-1",50
"16",3.741,0.846,"9967",1,500,"1",50
"17",-3.062,0.671,"9967",1,500,"-1",49
"18",0.627,1.098,"9967",1,500,"1",49
"19",-3.209,1.396,"9967",1,500,"-1",48
"20",2.915,1.893,"9967",1,500,"1",48
"21",-3.657,1.057,"9967",1,500,"-1",47
"22",1.493,2.059,"9967",1,500,"1",47
"23",-3.774,0.83,"9967",1,500,"-1",46
"24",-0.787,1.227,"9967",1,500,"1",46
"25",1.582,2.05,"9967",1,500,"-1",45
"26",8.726,1.265,"9967",1,500,"1",45
"27",-2.829,1.466,"9967",1,500,"-1",44
"28",0.228,0.806,"9967",1,500,"1",44
"29",-4.433,3.187,"9967",1,500,"-1",43
"30",3.262,2.735,"9967",1,500,"1",43
"31",-3.421,1.397,"9967",1,500,"-1",42
"32",2.063,2.742,"9967",1,500,"1",42
"33",-7.863,0.962,"9967",1,500,"-1",41
"34",0.162,3.357,"9967",1,500,"1",41
"35",-2.288,3.132,"9967",1,500,"-1",40
"36",7.355,1.644,"9967",1,500,"1",40
"37",-2.892,2.782,"9967",1,500,"-1",39
"38",6.982,1.996,"9967",1,500,"1",39
"39",-4.678,2.329,"9967",1,500,"-1",38
"40",3.216,3.148,"9967",1,500,"1",38
"41",-2.812,2.74,"9967",1,500,"-1",37
"42",3.92,2.069,"9967",1,500,"1",37
"43",-0.338,4.307,"9967",1,500,"-1",36
"44",0.263,1.346,"9967",1,500,"1",36
"45",-4.338,1.696,"9967",1,500,"-1",35
"46",2.319,1.716,"9967",1,500,"1",35
"47",-1.458,0.52,"9967",1,500,"-1",33
"48",-0.205,0.231,"9967",1,500,"1",33
"49",-3.384,3.406,"9967",1,500,"-1",32
"50",6.505,1.849,"9967",1,500,"1",32
"51",-4.549,2.326,"9967",1,500,"-1",31
"52",4.766,2.891,"9967",1,500,"1",31
"53",-5.471,1.778,"9967",1,500,"-1",30
"54",1.671,2.738,"9967",1,500,"1",30
"55",-4.053,2.263,"9967",1,500,"-1",29
"56",1.274,1.166,"9967",1,500,"1",29
"57",-0.705,1.526,"9967",1,500,"-1",28
"58",3.336,1.373,"9967",1,500,"1",28
"59",-3.959,1.298,"9967",1,500,"-1",26
"60",1.539,2.163,"9967",1,500,"1",26
"61",-0.728,1.913,"9967",1,500,"-1",25
"62",4.772,0.982,"9967",1,500,"1",25
"63",-4.565,2.27,"9967",1,500,"-1",23
"64",1.609,2.258,"9967",1,500,"1",23
"65",0.266,1.918,"9967",1,500,"-1",22
"66",3.93,1.041,"9967",1,500,"1",22
"67",-7.919,2.119,"9967",1,500,"-1",21
"68",1.703,3.857,"9967",1,500,"1",21
"69",-1.058,5.276,"9967",1,500,"-1",20
"70",12.238,2.092,"9967",1,500,"1",20
"71",-2.981,1.908,"9967",1,500,"-1",19
"72",3.005,2.553,"9967",1,500,"1",19
"73",-1.597,0.966,"9967",1,500,"-1",18
"74",1.822,1.002,"9967",1,500,"1",18
"75",-0.133,2.633,"9967",1,500,"-1",17
"76",5.454,0.733,"9967",1,500,"1",17
"77",-3.379,1.861,"9967",1,500,"-1",16
"78",1.437,1.872,"9967",1,500,"1",16
"79",-0.728,3.491,"9967",1,500,"-1",15
"80",8.46,1.887,"9967",1,500,"1",15
"81",-2.814,1.43,"9967",1,500,"-1",14
"82",0.525,1.442,"9967",1,500,"1",14
"83",-3.87,1.178,"9967",1,500,"-1",13
"84",-1.125,0.666,"9967",1,500,"1",13
"85",-3.282,2.751,"9967",1,500,"-1",12
"86",4.14,2.852,"9967",1,500,"1",12
"87",-6.386,1.085,"9967",1,500,"-1",11
"88",-2.518,1.306,"9967",1,500,"1",11
"89",-6.108,1.929,"9967",1,500,"-1",10
"90",3.133,3.704,"9967",1,500,"1",10
"91",-1.626,7.688,"9967",1,500,"-1",9
"92",1.557,1.791,"9967",1,500,"1",9
"93",-11.965,0.983,"9967",1,500,"-1",8
"94",0.546,4.308,"9967",1,500,"1",8
"95",-1.458,0.52,"9967",1,500,"-1",7
"96",-0.205,0.231,"9967",1,500,"1",7
"97",-5.333,2.654,"9967",1,500,"-1",6
"98",1.971,2.805,"9967",1,500,"1",6
"99",-9.647,1.645,"9967",1,500,"-1",5
"100",-1.311,5.116,"9967",1,500,"1",5
"101",-5.282,3.725,"9967",1,500,"-1",4
"102",4.171,2.476,"9967",1,500,"1",4
"103",-2.938,1.978,"9967",1,500,"-1",2
"104",2.77,2.356,"9967",1,500,"1",2
"105",-2.64,1.199,"9967",1,500,"-1",1
"106",1.589,1.292,"9967",1,500,"1",1
