"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.247,1.008,"11042",1,20,"-1"
"2",0.309,3.071,"11042",1,20,"1"
"3",-0.338,1.228,"11042",2,20,"-1"
"4",0.828,3.564,"11042",2,20,"1"
"5",-0.407,1.101,"11042",3,20,"-1"
"6",0.629,3.041,"11042",3,20,"1"
"7",-0.303,0.889,"11042",4,20,"-1"
"8",0.326,2.671,"11042",4,20,"1"
"9",-0.473,0.885,"11042",5,20,"-1"
"10",2.191,1.08,"11042",5,20,"1"
"11",-0.603,0.832,"11042",6,20,"-1"
"12",0.583,1.899,"11042",6,20,"1"
"13",-0.394,0.845,"11042",7,20,"-1"
"14",1.216,2.339,"11042",7,20,"1"
"15",-0.989,1.054,"11042",8,20,"-1"
"16",1.314,1.336,"11042",8,20,"1"
