"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.279,1.033,"10409",1,20,"-1"
"2",0.285,3.095,"10409",1,20,"1"
"3",-0.31,0.748,"10409",2,20,"-1"
"4",0.308,2.357,"10409",2,20,"1"
"5",-0.342,1.139,"10409",3,20,"-1"
"6",0.884,3.048,"10409",3,20,"1"
"7",-0.332,1.885,"10409",4,20,"-1"
"8",0.382,0.71,"10409",4,20,"1"
"9",-0.853,1.392,"10409",5,20,"-1"
"10",2.436,1.248,"10409",5,20,"1"
"11",-0.309,0.828,"10409",6,20,"-1"
"12",1.811,0.936,"10409",6,20,"1"
"13",-0.229,0.706,"10409",7,20,"-1"
"14",-0.989,1.939,"10409",7,20,"1"
"15",-0.773,0.777,"10409",8,20,"-1"
"16",0.062,2.11,"10409",8,20,"1"
