"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.012,1.065,"11358",1,20,"-1"
"2",0.297,3.093,"11358",1,20,"1"
"3",-0.413,1.032,"11358",2,20,"-1"
"4",0.607,2.863,"11358",2,20,"1"
"5",-0.325,2.744,"11358",3,20,"-1"
"6",-0.441,0.799,"11358",3,20,"1"
"7",-0.397,2.165,"11358",4,20,"-1"
"8",-0.115,0.883,"11358",4,20,"1"
"9",-0.041,0.715,"11358",5,20,"-1"
"10",0.8,1.707,"11358",5,20,"1"
"11",-0.462,0.945,"11358",6,20,"-1"
"12",2.188,0.73,"11358",6,20,"1"
"13",-2.052,0.835,"11358",7,20,"-1"
"14",0.465,1.131,"11358",7,20,"1"
"15",-0.388,0.934,"11358",8,20,"-1"
"16",2.118,1.103,"11358",8,20,"1"
