"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-0.454,5.47,"11358",1,500,"-1",35
"2",0.505,1.659,"11358",1,500,"1",35
"3",-0.495,1.804,"11358",1,500,"-1",34
"4",0.194,9.629,"11358",1,500,"1",34
"5",-2.337,0.935,"11358",1,500,"-1",33
"6",0.863,0.781,"11358",1,500,"1",33
"7",-2.74,2.722,"11358",1,500,"-1",32
"8",3.635,1.861,"11358",1,500,"1",32
"9",0.697,2.115,"11358",1,500,"-1",30
"10",5.702,1.081,"11358",1,500,"1",30
"11",-3.91,0.929,"11358",1,500,"-1",29
"12",0.718,1.407,"11358",1,500,"1",29
"13",-1.636,2.053,"11358",1,500,"-1",28
"14",3.567,1.603,"11358",1,500,"1",28
"15",-5.608,2.323,"11358",1,500,"-1",27
"16",0.056,2.493,"11358",1,500,"1",27
"17",2.418,1.275,"11358",1,500,"-1",26
"18",6.456,0.933,"11358",1,500,"1",26
"19",-1.749,1.826,"11358",1,500,"-1",25
"20",3.171,1.314,"11358",1,500,"1",25
"21",-0.28,0.954,"11358",1,500,"-1",24
"22",2.205,0.681,"11358",1,500,"1",24
"23",-5.185,5.062,"11358",1,500,"-1",23
"24",8.18,3.763,"11358",1,500,"1",23
"25",-2.592,2.102,"11358",1,500,"-1",22
"26",3.867,1.409,"11358",1,500,"1",22
"27",-1.956,1.234,"11358",1,500,"-1",21
"28",1.244,1.149,"11358",1,500,"1",21
"29",0.546,4.625,"11358",1,500,"-1",20
"30",2.565,1.305,"11358",1,500,"1",20
"31",-1.219,1.306,"11358",1,500,"-1",19
"32",2.493,1.263,"11358",1,500,"1",19
"33",-1.034,0.667,"11358",1,500,"-1",18
"34",0.347,0.699,"11358",1,500,"1",18
"35",-0.522,1.184,"11358",1,500,"-1",17
"36",2.18,0.897,"11358",1,500,"1",17
"37",-0.379,3.579,"11358",1,500,"-1",16
"38",6.82,0.933,"11358",1,500,"1",16
"39",-5.111,1.969,"11358",1,500,"-1",15
"40",0.691,2.618,"11358",1,500,"1",15
"41",-1.54,0.576,"11358",1,500,"-1",14
"42",0.012,0.592,"11358",1,500,"1",14
"43",-4.12,2.819,"11358",1,500,"-1",13
"44",2.961,2.553,"11358",1,500,"1",13
"45",-0.117,1.406,"11358",1,500,"-1",12
"46",2.303,0.966,"11358",1,500,"1",12
"47",-2.555,2.18,"11358",1,500,"-1",11
"48",6.097,5.14,"11358",1,500,"1",11
"49",-5.964,1.806,"11358",1,500,"-1",10
"50",2.728,4.14,"11358",1,500,"1",10
"51",-7.887,2.778,"11358",1,500,"-1",9
"52",1.204,3.313,"11358",1,500,"1",9
"53",-1.406,1.921,"11358",1,500,"-1",8
"54",3.557,0.91,"11358",1,500,"1",8
"55",-7.849,1.272,"11358",1,500,"-1",7
"56",-0.477,3.387,"11358",1,500,"1",7
"57",-1.813,1.157,"11358",1,500,"-1",6
"58",0.932,0.624,"11358",1,500,"1",6
"59",-2.863,1.616,"11358",1,500,"-1",5
"60",1.181,1.473,"11358",1,500,"1",5
"61",-2.222,1.498,"11358",1,500,"-1",4
"62",1.92,0.842,"11358",1,500,"1",4
"63",-3.007,3.482,"11358",1,500,"-1",3
"64",-0.018,1.363,"11358",1,500,"1",3
"65",-4.693,1.712,"11358",1,500,"-1",2
"66",1.571,2.336,"11358",1,500,"1",2
"67",-5.361,1.144,"11358",1,500,"-1",1
"68",2.572,3.727,"11358",1,500,"1",1
