"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-1.073,1.39,"9481",1,20,"-1"
"2",1.919,1.416,"9481",1,20,"1"
"3",-0.689,1.147,"9481",2,20,"-1"
"4",2.069,1.16,"9481",2,20,"1"
"5",-0.642,1.33,"9481",3,20,"-1"
"6",2.919,1.263,"9481",3,20,"1"
"7",-0.19,0.832,"9481",4,20,"-1"
"8",-0.503,2.46,"9481",4,20,"1"
"9",-0.054,0.888,"9481",5,20,"-1"
"10",0.766,2.226,"9481",5,20,"1"
"11",-0.788,0.812,"9481",6,20,"-1"
"12",0.815,1.862,"9481",6,20,"1"
"13",-0.436,1.019,"9481",7,20,"-1"
"14",2.317,1.927,"9481",7,20,"1"
"15",-0.117,0.742,"9481",8,20,"-1"
"16",-0.442,2.29,"9481",8,20,"1"
