"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-6.103,1.467,"11345",1,500,"-1",45
"2",0.141,2.974,"11345",1,500,"1",45
"3",-3.589,4.844,"11345",1,500,"-1",44
"4",11.532,2.857,"11345",1,500,"1",44
"5",-3.934,1.52,"11345",1,500,"-1",43
"6",0.497,1.133,"11345",1,500,"1",43
"7",-5.021,2.28,"11345",1,500,"-1",42
"8",1.45,1.932,"11345",1,500,"1",42
"9",0.439,5.398,"11345",1,500,"-1",40
"10",1.16,1.511,"11345",1,500,"1",40
"11",-1.221,2.197,"11345",1,500,"-1",39
"12",4.767,0.694,"11345",1,500,"1",39
"13",-2.564,2.761,"11345",1,500,"-1",38
"14",5.367,1.802,"11345",1,500,"1",38
"15",-1.107,0.682,"11345",1,500,"-1",37
"16",-0.605,3.941,"11345",1,500,"1",37
"17",-3.036,1.047,"11345",1,500,"-1",36
"18",1.339,1.613,"11345",1,500,"1",36
"19",-3.616,2.717,"11345",1,500,"-1",35
"20",5.318,1.318,"11345",1,500,"1",35
"21",-4.07,1.417,"11345",1,500,"-1",34
"22",-0.191,1.223,"11345",1,500,"1",34
"23",-9.655,1.917,"11345",1,500,"-1",33
"24",-1.932,2.664,"11345",1,500,"1",33
"25",-4.589,1.632,"11345",1,500,"-1",32
"26",0.034,1.675,"11345",1,500,"1",32
"27",-4.519,1.993,"11345",1,500,"-1",31
"28",3.051,2.513,"11345",1,500,"1",31
"29",-5.351,0.771,"11345",1,500,"-1",30
"30",-0.878,1.985,"11345",1,500,"1",30
"31",-5.435,2.255,"11345",1,500,"-1",29
"32",3.368,2.067,"11345",1,500,"1",29
"33",-3.642,1.431,"11345",1,500,"-1",28
"34",-0.294,1.198,"11345",1,500,"1",28
"35",-5.811,1.388,"11345",1,500,"-1",27
"36",0.519,3.287,"11345",1,500,"1",27
"37",-2.936,1.663,"11345",1,500,"-1",26
"38",3.517,2.535,"11345",1,500,"1",26
"39",-2.786,1.74,"11345",1,500,"-1",25
"40",3.588,1.331,"11345",1,500,"1",25
"41",2.595,3.46,"11345",1,500,"-1",24
"42",12.595,1.94,"11345",1,500,"1",24
"43",-1.467,1.453,"11345",1,500,"-1",23
"44",2.869,1.559,"11345",1,500,"1",23
"45",-0.359,6.799,"11345",1,500,"-1",22
"46",1.394,1.735,"11345",1,500,"1",22
"47",-1.13,1.914,"11345",1,500,"-1",21
"48",3.379,2.399,"11345",1,500,"1",21
"49",-0.729,4.749,"11345",1,500,"-1",20
"50",10.704,1.263,"11345",1,500,"1",20
"51",0.567,2.157,"11345",1,500,"-1",19
"52",4.656,1.082,"11345",1,500,"1",19
"53",-2.932,1.969,"11345",1,500,"-1",18
"54",2.585,1.271,"11345",1,500,"1",18
"55",-2.078,1.828,"11345",1,500,"-1",16
"56",2.711,1.405,"11345",1,500,"1",16
"57",-2.931,1.772,"11345",1,500,"-1",15
"58",2.916,2.273,"11345",1,500,"1",15
"59",-3.443,2.052,"11345",1,500,"-1",14
"60",3.116,2.614,"11345",1,500,"1",14
"61",-1.428,0.794,"11345",1,500,"-1",13
"62",2.049,1.243,"11345",1,500,"1",13
"63",-4.243,1.8,"11345",1,500,"-1",12
"64",1.257,2.299,"11345",1,500,"1",12
"65",-1.054,0.874,"11345",1,500,"-1",11
"66",6.297,2.731,"11345",1,500,"1",11
"67",3.924,2.551,"11345",1,500,"-1",10
"68",12.503,2.256,"11345",1,500,"1",10
"69",-1.538,1.27,"11345",1,500,"-1",8
"70",2.336,1.433,"11345",1,500,"1",8
"71",-1.246,2.057,"11345",1,500,"-1",7
"72",9.253,3.979,"11345",1,500,"1",7
"73",-3.144,0.64,"11345",1,500,"-1",6
"74",1.385,1.011,"11345",1,500,"1",6
"75",-2.6,1.572,"11345",1,500,"-1",5
"76",2.502,2.055,"11345",1,500,"1",5
"77",-1.409,0.985,"11345",1,500,"-1",4
"78",1.949,0.735,"11345",1,500,"1",4
"79",-0.91,1.94,"11345",1,500,"-1",3
"80",5.178,1.242,"11345",1,500,"1",3
"81",-2.765,1.013,"11345",1,500,"-1",2
"82",2.111,1.635,"11345",1,500,"1",2
"83",-1.66,1.126,"11345",1,500,"-1",1
"84",1.806,1.118,"11345",1,500,"1",1
