"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-1.508,2.472,"11217",1,500,"-1",15
"2",4.39,1.969,"11217",1,500,"1",15
"3",-1.387,1.014,"11217",1,500,"-1",14
"4",0.87,0.896,"11217",1,500,"1",14
"5",1.222,3.316,"11217",1,500,"-1",13
"6",8.321,1.62,"11217",1,500,"1",13
"7",-2.339,1.388,"11217",1,500,"-1",12
"8",4.071,1.658,"11217",1,500,"1",12
"9",-1.536,1.825,"11217",1,500,"-1",11
"10",5.443,1.804,"11217",1,500,"1",11
"11",-4.341,4.201,"11217",1,500,"-1",10
"12",3.824,2.472,"11217",1,500,"1",10
"13",-2.721,1.612,"11217",1,500,"-1",9
"14",0.905,1.379,"11217",1,500,"1",9
"15",-3.7,1.263,"11217",1,500,"-1",8
"16",0.127,1.786,"11217",1,500,"1",8
"17",-1.329,1.675,"11217",1,500,"-1",7
"18",5.336,2.193,"11217",1,500,"1",7
"19",-0.479,1.025,"11217",1,500,"-1",6
"20",2.129,0.39,"11217",1,500,"1",6
"21",-2.535,1.836,"11217",1,500,"-1",5
"22",2.25,1.656,"11217",1,500,"1",5
"23",-3.147,1.519,"11217",1,500,"-1",4
"24",1.291,1.568,"11217",1,500,"1",4
"25",-1.277,1.14,"11217",1,500,"-1",3
"26",2.925,1.208,"11217",1,500,"1",3
"27",-0.706,1.708,"11217",1,500,"-1",2
"28",4.675,1.677,"11217",1,500,"1",2
"29",-2.945,1.612,"11217",1,500,"-1",1
"30",3.218,2.031,"11217",1,500,"1",1
