"","sample","shape","BetaSigma","Ra","Rq","Rv","Rp","Rx","Rsk","Rku","RzJIS"
"1","11192",1,20,1.53262620027736,2.02144691674999,9.05538513813742,9.16581666421228,18.2212018023497,0.339304710899101,4.31082332644668,15.9056897769013
"2","11192",2,20,1.26758310678205,1.67671633696669,6.26099033699944,5,11.2609903369994,-0.585033709635907,3.78263658053315,10.2455089658128
"3","11192",3,20,1.32025072713272,1.77287756300467,4.59999999999995,6.97582030771421,11.5758203077142,0.564221206845547,4.06917566727215,10.4801938279735
"4","11192",4,20,1.13231970659556,1.45351063141337,4.38461538461539,3.92232270276365,8.30693808737903,-0.265567448090101,3.15740452431488,7.67460816956606
"5","11192",5,20,0.955884556668986,1.24511486092241,2.8168113585237,4.16025147168919,6.97706283021289,1.17888951261726,3.23093345122026,5.78909941501672
"6","11192",6,20,1.14179700532315,1.43806613575644,3.39411254969544,4.37170043643006,7.7658129861255,0.479180828871286,2.79394339214907,6.72835064129444
"7","11192",7,20,1.40063987044605,1.78480272549387,3.58213388475601,4.90290337845456,8.48503726321057,0.326056799291729,2.79034768246876,8.10865804965883
"8","11192",8,20,0.93828792232556,1.21850828560943,2.10493924633688,3.66102129508655,5.76596054142343,1.03144292148337,3.30990962285897,5.17409468359492
"9","11192",9,20,1.15044514333885,1.48130410744967,5.05964425626937,5.37587202228626,10.4355162785556,-0.370557581979817,3.93444446475219,7.56044681919396
"10","11192",10,20,1.04502260934144,1.31144089493874,3.20092199832241,3.07288511838954,6.27380711671195,-0.414631665080413,2.47790902348752,5.63974494973734
