"","X.1","X.1to1","X1to.1","X1","sample","shape","BetaSigma","model","segs"
"1",0.96792369212655,0.0320763078734495,0.0435684643866582,0.956431535613342,10021,1,500,"sign",1
"2",0.88,0.12,0.133333333333333,0.866666666666667,10021,1,500,"gaussian",1
"3",0.955591681245404,0.0444083187545965,0.104135335029063,0.895864664970937,10021,1,500,"sign",3
"4",0.837837837837838,0.162162162162162,0.193548387096774,0.806451612903226,10021,1,500,"gaussian",3
"5",0.894731869004824,0.105268130995176,0.0436748634532578,0.956325136546742,10021,1,500,"sign",4
"6",0.882352941176471,0.117647058823529,0.185185185185185,0.814814814814815,10021,1,500,"gaussian",4
"7",0.936791054968276,0.0632089450317245,0.165274925905285,0.834725074094715,10021,1,500,"sign",5
"8",0.833333333333333,0.166666666666667,0.227272727272727,0.772727272727273,10021,1,500,"gaussian",5
"9",0.872616798662826,0.127383201337174,0.203259156319027,0.796740843680973,10021,1,500,"sign",6
"10",0.75,0.25,0.0909090909090909,0.909090909090909,10021,1,500,"gaussian",6
"11",0.928330417269305,0.0716695827306949,0.0612018278755591,0.938798172124441,10021,1,500,"sign",7
"12",0.8,0.2,0.153846153846154,0.846153846153846,10021,1,500,"gaussian",7
"13",0.919044960989459,0.0809550390105407,0.0467139395771882,0.953286060422812,10021,1,500,"sign",8
"14",0.8125,0.1875,0.0648148148148148,0.935185185185185,10021,1,500,"gaussian",8
"15",0.922165754957571,0.0778342450424286,0.0572744545871794,0.942725545412821,10021,1,500,"sign",9
"16",0.892857142857143,0.107142857142857,0.0615384615384615,0.938461538461538,10021,1,500,"gaussian",9
"17",0.864840997573301,0.135159002426699,0.0738320243685665,0.926167975631433,10021,1,500,"sign",10
"18",0.888888888888889,0.111111111111111,0.0833333333333333,0.916666666666667,10021,1,500,"gaussian",10
"19",0.950668005208126,0.0493319947918742,0.08099588892259,0.91900411107741,10021,1,500,"sign",11
"20",0.966666666666667,0.0333333333333333,0.25,0.75,10021,1,500,"gaussian",11
"21",0.94722996450393,0.0527700354960696,0.0509476113133802,0.94905238868662,10021,1,500,"sign",12
"22",0.885714285714286,0.114285714285714,0.113636363636364,0.886363636363636,10021,1,500,"gaussian",12
"23",0.933394508643943,0.0666054913560571,0.0692054795268749,0.930794520473125,10021,1,500,"sign",13
"24",0.791044776119403,0.208955223880597,0.269230769230769,0.730769230769231,10021,1,500,"gaussian",13
"25",0.879151057520645,0.120848942479355,0.0529631789353192,0.947036821064681,10021,1,500,"sign",14
"26",0.9375,0.0625,0.0869565217391304,0.91304347826087,10021,1,500,"gaussian",14
"27",0.966871107662753,0.0331288923372469,0.0324003842806657,0.967599615719334,10021,1,500,"sign",15
"28",0.936708860759494,0.0632911392405063,0.0471698113207547,0.952830188679245,10021,1,500,"gaussian",15
"29",0.906805382840998,0.0931946171590024,0.171589000962528,0.828410999037472,10021,1,500,"sign",16
