"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.396,1.028,"11398",1,20,"-1"
"2",0.729,2.917,"11398",1,20,"1"
"3",-0.193,1.052,"11398",2,20,"-1"
"4",0.52,3.192,"11398",2,20,"1"
"5",-1.106,1.072,"11398",3,20,"-1"
"6",1.357,1.13,"11398",3,20,"1"
"7",-0.485,0.926,"11398",4,20,"-1"
"8",0.944,2.478,"11398",4,20,"1"
"9",-0.746,1.054,"11398",5,20,"-1"
"10",1.546,0.921,"11398",5,20,"1"
"11",-0.927,2.322,"11398",6,20,"-1"
"12",0.174,0.9,"11398",6,20,"1"
"13",-0.285,0.928,"11398",7,20,"-1"
"14",2.161,0.728,"11398",7,20,"1"
"15",-0.943,0.994,"11398",8,20,"-1"
"16",1.12,1.064,"11398",8,20,"1"
"17",-0.465,1.001,"11398",9,20,"-1"
"18",2.082,0.83,"11398",9,20,"1"
"19",-1.624,0.868,"11398",10,20,"-1"
"20",0.784,1.016,"11398",10,20,"1"
