"","sample","shape","area"
"269",10881,1,161051
"270",10881,2,823.5
"271",10881,3,808
"272",10886,1,99900
"273",10886,2,1391.5
"274",10886,3,993
"275",10887,1,307095.5
"276",10887,2,15072.5
"277",10887,3,2774
"278",10887,4,1638.5
"279",10887,5,1021
"280",10894,1,75041
"281",10901,1,32062
"282",10901,2,11521
"283",10901,3,2960
"284",10903,1,500847
"285",10904,1,202575.5
"286",10905,1,156340.5
"287",10905,2,1079.5
"288",10905,3,828.5
"289",10931,1,144993.5
"290",10931,2,884.5
"291",10932,1,77776
"292",10934,1,204936
"293",10934,2,3069
"294",10934,3,1376.5
"295",10934,4,1424.5
"296",10934,5,1032
"297",10938,1,74981.5
"298",10938,2,14327
"299",10938,3,10512.5
"300",10938,4,1716.5
"301",10938,5,1695.5
"302",10938,6,978
"303",10939,1,68262
"304",10939,2,37356.5
"305",10939,3,28843
"306",10939,4,26689.5
"307",10939,5,12992.5
"308",10939,6,4627
"309",10939,7,1085.5
"310",10987,1,127383.5
"311",10988,1,133285.5
"312",10988,2,883
"313",10989,1,68374.5
"314",10989,2,66220.5
"315",10989,3,30689.5
"316",10989,4,2278.5
"317",10989,5,1600.5
"318",10989,6,1558
"319",10989,7,1177
"320",10989,8,809.5
"321",10994,1,130695
"322",10995,1,116650
"323",10995,2,10329.5
"324",10995,3,3262.5
"325",10995,4,2898
"326",10995,5,911.5
"327",10997,1,218117
"328",10997,2,4942
"329",10997,3,3337.5
"330",10997,4,2916.5
"331",10997,5,2809.5
"332",10997,6,1908.5
"333",10997,7,1477
"334",10998,1,377760.5
"335",10998,2,2897.5
"336",10998,3,1738.5
"337",10998,4,1570
"338",10998,5,1045
"339",10999,1,515816.5
"340",10999,2,1056
"341",11003,1,504749
"342",11004,1,465065
"343",11004,2,34569
"344",11004,3,1269
"345",11005,1,254906
"346",11005,2,11507
"347",11010,1,74670.5
"348",11010,2,1270.5
"349",11010,3,1063
"350",11026,1,11236.5
"351",11026,2,8250.5
"352",11026,3,1296.5
"353",11030,1,114292
"354",11030,2,111139
"355",11030,3,3668
"356",11030,4,1427
"357",11030,5,1216
"358",11030,6,1152.5
"359",11030,7,1083.5
"360",11031,1,92812
"361",11031,2,47685
"362",11031,3,1158
"363",11031,4,921
"364",11031,5,882.5
"365",11031,6,826
"366",11033,1,97889
"367",11033,2,2661
"368",11033,3,1017.5
"369",11036,1,187993.5
"370",11036,2,7517.5
"371",11036,3,3092
"372",11036,4,1306
"373",11036,5,1126.5
"374",11036,6,943
"375",11036,7,839.5
"376",11036,8,767.5
"377",11038,1,204692
"378",11038,2,91199
"379",11038,3,16993.5
"380",11042,1,250963
"381",11042,2,97857.5
"382",11042,3,46141.5
"383",11042,4,22565
"384",11042,5,1096
"385",11042,6,897.5
"386",11042,7,772
"387",11042,8,774.5
"388",11043,1,492624.5
"389",11043,2,908
"390",11048,1,616745.5
"391",11048,2,3009
"392",11048,3,1705.5
"393",11048,4,1394.5
"394",11048,5,826
"395",11105,1,228445
"396",11105,2,1423.5
"397",11106,1,179111
"398",11106,2,3335
"399",11107,1,186789
"400",11107,2,11154
"401",11110,1,120920
"402",11110,2,61748
"403",11110,3,2493.5
"404",11110,4,1049
"405",11110,5,884
"406",11110,6,913.5
"407",11110,7,791.5
"408",11112,1,113522.5
"409",11113,1,59978.5
"410",11113,2,1630
"411",11113,3,1468
"412",11122,1,22503
"413",11122,2,3403
"414",11122,3,1600
"415",11122,4,1233
"416",11127,1,108524.5
"417",11127,2,5370.5
"418",11127,3,5178.5
"419",11127,4,2682
"420",11127,5,2099
"421",11127,6,1594
"422",11127,7,907.5
"423",11128,1,126100
"424",11128,2,28035.5
"425",11128,3,12544.5
"426",11128,4,5686
"427",11128,5,5291.5
"428",11128,6,2039.5
"429",11128,7,1607.5
"430",11128,8,1486.5
"431",11128,9,1297
"432",11128,10,1103
"433",11128,11,962.5
"434",11128,12,809.5
"435",11185,1,59305
"436",11186,1,7951
"437",11186,2,8018
"438",11186,3,1337.5
"439",11188,1,155248.5
"440",11188,2,6625
"441",11188,3,2446.5
"442",11188,4,895.5
"443",11188,5,838
"444",11191,1,102173.5
"445",11191,2,18091.5
"446",11191,3,4231.5
"447",11191,4,3863
"448",11191,5,2186.5
"449",11191,6,991
"450",11191,7,930
"451",11192,1,45640
"452",11192,2,6867
"453",11192,3,5438.5
"454",11192,4,2469.5
"455",11192,5,2020.5
"456",11192,6,1908.5
"457",11192,7,1413
"458",11192,8,875.5
"459",11192,9,837.5
"460",11192,10,773
"461",11217,1,45713.5
"462",11218,1,214009.5
"463",11218,2,1115.5
"464",11229,1,75308.5
"465",11229,2,2532
"466",11229,3,1255
"467",11229,4,820.5
"468",11233,1,92179
"469",11233,2,5597.5
"470",11234,1,71443.5
"471",11234,2,1964
"472",11240,1,283673
"473",11240,2,149700.5
"474",11240,3,2004
"475",11240,4,1451.5
"476",11240,5,1211.5
"477",11240,6,801.5
"478",11247,1,325098
"479",11247,2,3311.5
"480",11247,3,1006.5
"481",11248,1,250995
"482",11248,2,12288
"483",11248,3,983
"484",11248,4,989.5
"485",11249,1,237968.5
"486",11249,2,959.5
"487",11253,1,30109
"488",11253,2,25049
"489",11253,3,13472.5
"490",11253,4,4116.5
"491",11253,5,2382
"492",11253,6,1052.5
"493",11259,1,128106
"494",11262,1,99109
"495",11262,2,66016
"496",11262,3,34389.5
"497",11262,4,30519
"498",11262,5,1143
"499",11262,6,1052.5
"500",11279,1,32825
"501",11279,2,20021.5
"502",11279,3,8960.5
"503",11279,4,4792.5
"504",11279,5,2440.5
"505",11279,6,1287
"506",11280,1,7125
"507",11280,2,1454.5
"508",11285,1,71730
"509",11285,2,14805.5
"510",11285,3,2644.5
"511",11285,4,1696.5
"512",11285,5,1306.5
"513",11285,6,976
"514",11286,1,103357.5
"515",11286,2,39917
"516",11286,3,5391
"517",11286,4,2395
"518",11286,5,1639.5
"519",11286,6,1011
"520",11286,7,823.5
"521",11292,1,22758
"522",11292,2,19081
"523",11292,3,4868
"524",11292,4,1610.5
"525",11292,5,989.5
"526",11293,1,12355.5
"527",11293,2,9746.5
"528",11293,3,6140
"529",11293,4,2069
"530",11293,5,1921
"531",11293,6,1772.5
"532",11295,1,18987.5
"533",11295,2,1300
"534",11295,3,902
"535",11296,1,14106.5
"536",11296,2,13189
"537",11296,3,5708
"538",11296,4,4817
"539",11296,5,3622
"540",11296,6,3340.5
"541",11299,1,1340
"542",11299,2,1119
"543",11301,1,6574
"544",11301,2,4432
"545",11312,1,43509.5
"546",11312,2,16394
"547",11313,1,7609
"548",11313,2,2123
"549",11313,3,1713.5
"550",11321,1,26317
"551",11323,1,13759
"552",11323,2,9488.5
"553",11323,3,9422
"554",11323,4,4778.5
"555",11323,5,1233.5
"556",11323,6,854
"557",11342,1,129958
"558",11345,1,82750.5
"559",11346,1,133755
"560",11346,2,3655.5
"561",11351,1,202068
"562",11351,2,1311.5
"563",11351,3,1298.5
"564",11351,4,1210.5
"565",11351,5,1177.5
"566",11351,6,1086.5
"567",11351,7,867
"568",11352,1,73498
"569",11352,2,63910
"570",11352,3,14308.5
"571",11352,4,7689.5
"572",11352,5,3876.5
"573",11352,6,2742.5
"574",11352,7,2236
"575",11352,8,1421
"576",11352,9,1307.5
"577",11352,10,1210.5
"578",11352,11,859.5
"579",11357,1,582940.5
"580",11357,2,3094.5
"581",11357,3,2678
"582",11357,4,1335.5
"583",11357,5,988
"584",11358,1,117503.5
"585",11358,2,103938.5
