"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","9692",1,5,37,0.00644150417827298,33.0993750807065
"2","9692",1,10,37,0.00644150417827298,33.1539921722199
"3","9692",1,25,37,0.00644150417827298,33.2826649999949
"4","9692",1,50,37,0.00644150417827298,33.4481827486145
"5","9692",1,100,37,0.00644150417827298,33.0135248595496
"6","9692",1,150,37,0.00644150417827298,33.5325849970772
"7","9692",1,200,37,0.00644150417827298,33.9539636075964
"8","9692",1,250,37,0.00644150417827298,32.5171003500451
"9","9692",1,300,37,0.00644150417827298,33.3308221780509
"10","9692",1,350,37,0.00644150417827298,32.7407573125671
"11","9692",1,400,37,0.00644150417827298,33.8041026723921
"12","9692",1,500,37,0.00644150417827298,31.0060322158922
"13","9692",1,600,37,0.00644150417827298,36.0107936775363
