"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","10992",1,5,21,0.025,31.4168802305875
"2","10992",1,10,21,0.025,31.647517425862
"3","10992",1,25,21,0.025,32.8302486672124
"4","10992",1,50,21,0.025,33.76939078076
"5","10992",1,100,21,0.025,31.3190136260095
"6","10992",1,150,21,0.025,35.3194565691986
"7","10992",1,200,21,0.025,29.1931413753533
"8","10992",1,250,21,0.025,29.7578338153663
"9","10992",1,300,21,0.025,37.2364832027433
"10","10992",1,350,21,0.025,28.5568015988947
"11","10992",1,400,21,0.025,30.8475281981928
"12","10992",1,500,21,0.025,40.9071929636098
"13","10992",1,600,21,0.025,24.0558851308028
