"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","9706",1,5,19,0.0026344980587909,33.1593563297569
"2","9706",1,10,19,0.0026344980587909,33.195843711969
"3","9706",1,25,19,0.0026344980587909,33.2451941082961
"4","9706",1,50,19,0.0026344980587909,33.2564143384818
"5","9706",1,100,19,0.0026344980587909,32.9928658698766
"6","9706",1,150,19,0.0026344980587909,33.651664971082
"7","9706",1,200,19,0.0026344980587909,32.4359967535681
"8","9706",1,250,19,0.0026344980587909,33.1479047908758
"9","9706",1,300,19,0.0026344980587909,32.9179916597364
"10","9706",1,350,19,0.0026344980587909,34.3512314018149
"11","9706",1,400,19,0.0026344980587909,33.0029867031722
"12","9706",1,500,19,0.0026344980587909,33.0161063143487
"13","9706",1,600,19,0.0026344980587909,31.9177563145971
