"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","10674",1,5,15,0.00593824228028504,32.8212319387971
"2","10674",1,10,15,0.00593824228028504,32.9466464885072
"3","10674",1,25,15,0.00593824228028504,33.1318449099294
"4","10674",1,50,15,0.00593824228028504,33.782069017689
"5","10674",1,100,15,0.00593824228028504,33.3806368171298
"6","10674",1,150,15,0.00593824228028504,33.7725773802788
"7","10674",1,200,15,0.00593824228028504,35.5768250925652
"8","10674",1,250,15,0.00593824228028504,33.7727028090539
"9","10674",1,300,15,0.00593824228028504,31.3998942151084
"10","10674",1,350,15,0.00593824228028504,33.6620892179152
"11","10674",1,400,15,0.00593824228028504,35.5334608480727
"12","10674",1,500,15,0.00593824228028504,35.4030241086687
"13","10674",1,600,15,0.00593824228028504,32.4065962341771
