"","sample","shape","area"
"269","10877",3,9748.5
"270","10877",4,2879.5
"271","10877",5,1697.5
"272","10877",6,1512
"273","10877",7,1006.5
"274","10877",8,870.5
"275","10877",9,858.5
"276","10877",10,846
"277","10877",11,810
"278","10877",12,757
"279","10878",1,106415
"280","10878",2,53885.5
"281","10878",3,1025
"282","10880",1,76996
"283","10880",2,931.5
"284","10880",3,801.5
"285","10881",1,161051
"286","10881",2,823.5
"287","10881",3,808
"288","10886",1,99900
"289","10886",2,1391.5
"290","10886",3,993
"291","10887",1,307095.5
"292","10887",2,15072.5
"293","10887",3,2774
"294","10887",4,1638.5
"295","10887",5,1021
"296","10894",1,75041
"297","10901",1,32062
"298","10901",2,11521
"299","10901",3,2960
"300","10903",1,500847
"301","10904",1,202575.5
"302","10905",1,156340.5
"303","10905",2,1079.5
"304","10905",3,828.5
"305","10931",1,144993.5
"306","10931",2,884.5
"307","10932",1,77776
"308","10934",1,204936
"309","10934",2,3069
"310","10934",3,1376.5
"311","10934",4,1424.5
"312","10934",5,1032
"313","10938",1,74981.5
"314","10938",2,14327
"315","10938",3,10512.5
"316","10938",4,1716.5
"317","10938",5,1695.5
"318","10938",6,978
"319","10939",1,68262
"320","10939",2,37356.5
"321","10939",3,28843
"322","10939",4,26689.5
"323","10939",5,12992.5
"324","10939",6,4627
"325","10939",7,1085.5
"326","10987",1,127383.5
"327","10988",1,133285.5
"328","10988",2,883
"329","10989",1,68374.5
"330","10989",2,66220.5
"331","10989",3,30689.5
"332","10989",4,2278.5
"333","10989",5,1600.5
"334","10989",6,1558
"335","10989",7,1177
"336","10989",8,809.5
"337","10992",1,6365.5
"338","10992",2,3882
"339","10992",3,1347
"340","10994",1,130695
"341","10995",1,116650
"342","10995",2,10329.5
"343","10995",3,3262.5
"344","10995",4,2898
"345","10995",5,911.5
"346","10997",1,218117
"347","10997",2,4942
"348","10997",3,3337.5
"349","10997",4,2916.5
"350","10997",5,2809.5
"351","10997",6,1908.5
"352","10997",7,1477
"353","10998",1,377760.5
"354","10998",2,2897.5
"355","10998",3,1738.5
"356","10998",4,1570
"357","10998",5,1045
"358","10999",1,515816.5
"359","10999",2,1056
"360","11003",1,504749
"361","11004",1,465065
"362","11004",2,34569
"363","11004",3,1269
"364","11005",1,254906
"365","11005",2,11507
"366","11010",1,74670.5
"367","11010",2,1270.5
"368","11010",3,1063
"369","11026",1,11236.5
"370","11026",2,8250.5
"371","11026",3,1296.5
"372","11030",1,114292
"373","11030",2,111139
"374","11030",3,3668
"375","11030",4,1427
"376","11030",5,1216
"377","11030",6,1152.5
"378","11030",7,1083.5
"379","11031",1,92812
"380","11031",2,47685
"381","11031",3,1158
"382","11031",4,921
"383","11031",5,882.5
"384","11031",6,826
"385","11033",1,97889
"386","11033",2,2661
"387","11033",3,1017.5
"388","11034",1,893.5
"389","11036",1,187993.5
"390","11036",2,7517.5
"391","11036",3,3092
"392","11036",4,1306
"393","11036",5,1126.5
"394","11036",6,943
"395","11036",7,839.5
"396","11036",8,767.5
"397","11038",1,204692
"398","11038",2,91199
"399","11038",3,16993.5
"400","11042",1,250963
"401","11042",2,97857.5
"402","11042",3,46141.5
"403","11042",4,22565
"404","11042",5,1096
"405","11042",6,897.5
"406","11042",7,772
"407","11042",8,774.5
"408","11043",1,492624.5
"409","11043",2,908
"410","11048",1,616745.5
"411","11048",2,3009
"412","11048",3,1705.5
"413","11048",4,1394.5
"414","11048",5,826
"415","11104",1,13786
"416","11104",2,831.5
"417","11105",1,228445
"418","11105",2,1423.5
"419","11106",1,179111
"420","11106",2,3335
"421","11107",1,186789
"422","11107",2,11154
"423","11110",1,120920
"424","11110",2,61748
"425","11110",3,2493.5
"426","11110",4,1049
"427","11110",5,884
"428","11110",6,913.5
"429","11110",7,791.5
"430","11112",1,113522.5
"431","11113",1,59978.5
"432","11113",2,1630
"433","11113",3,1468
"434","11122",1,22503
"435","11122",2,3403
"436","11122",3,1600
"437","11122",4,1233
"438","11127",1,108524.5
"439","11127",2,5370.5
"440","11127",3,5178.5
"441","11127",4,2682
"442","11127",5,2099
"443","11127",6,1594
"444","11127",7,907.5
"445","11128",1,126100
"446","11128",2,28035.5
"447","11128",3,12544.5
"448","11128",4,5686
"449","11128",5,5291.5
"450","11128",6,2039.5
"451","11128",7,1607.5
"452","11128",8,1486.5
"453","11128",9,1297
"454","11128",10,1103
"455","11128",11,962.5
"456","11128",12,809.5
"457","11185",1,59305
"458","11186",1,7951
"459","11186",2,8018
"460","11186",3,1337.5
"461","11188",1,155248.5
"462","11188",2,6625
"463","11188",3,2446.5
"464","11188",4,895.5
"465","11188",5,838
"466","11191",1,102173.5
"467","11191",2,18091.5
"468","11191",3,4231.5
"469","11191",4,3863
"470","11191",5,2186.5
"471","11191",6,991
"472","11191",7,930
"473","11192",1,45640
"474","11192",2,6867
"475","11192",3,5438.5
"476","11192",4,2469.5
"477","11192",5,2020.5
"478","11192",6,1908.5
"479","11192",7,1413
"480","11192",8,875.5
"481","11192",9,837.5
"482","11192",10,773
"483","11217",1,45713.5
"484","11218",1,214009.5
"485","11218",2,1115.5
"486","11220",1,214009.5
"487","11220",2,1115.5
"488","11221",1,214009.5
"489","11221",2,1115.5
"490","11229",1,75308.5
"491","11229",2,2532
"492","11229",3,1255
"493","11229",4,820.5
"494","11233",1,92179
"495","11233",2,5597.5
"496","11234",1,71443.5
"497","11234",2,1964
"498","11240",1,283673
"499","11240",2,149700.5
"500","11240",3,2004
"501","11240",4,1451.5
"502","11240",5,1211.5
"503","11240",6,801.5
"504","11247",1,325098
"505","11247",2,3311.5
"506","11247",3,1006.5
"507","11248",1,250995
"508","11248",2,12288
"509","11248",3,983
"510","11248",4,989.5
"511","11249",1,237968.5
"512","11249",2,959.5
"513","11252",1,10888
"514","11252",2,1005.5
"515","11253",1,30109
"516","11253",2,25049
"517","11253",3,13472.5
"518","11253",4,4116.5
"519","11253",5,2382
"520","11253",6,1052.5
"521","11259",1,128106
"522","11262",1,99109
"523","11262",2,66016
"524","11262",3,34389.5
"525","11262",4,30519
"526","11262",5,1143
"527","11262",6,1052.5
"528","11279",1,32825
"529","11279",2,20021.5
"530","11279",3,8960.5
"531","11279",4,4792.5
"532","11279",5,2440.5
"533","11279",6,1287
"534","11280",1,7125
"535","11280",2,1454.5
"536","11285",1,71730
"537","11285",2,14805.5
"538","11285",3,2644.5
"539","11285",4,1696.5
"540","11285",5,1306.5
"541","11285",6,976
"542","11286",1,103357.5
"543","11286",2,39917
"544","11286",3,5391
"545","11286",4,2395
"546","11286",5,1639.5
"547","11286",6,1011
"548","11286",7,823.5
"549","11292",1,22758
"550","11292",2,19081
"551","11292",3,4868
"552","11292",4,1610.5
"553","11292",5,989.5
"554","11293",1,12355.5
"555","11293",2,9746.5
"556","11293",3,6140
"557","11293",4,2069
"558","11293",5,1921
"559","11293",6,1772.5
"560","11295",1,18987.5
"561","11295",2,1300
"562","11295",3,902
"563","11296",1,14106.5
"564","11296",2,13189
"565","11296",3,5708
"566","11296",4,4817
"567","11296",5,3622
"568","11296",6,3340.5
"569","11299",1,1340
"570","11299",2,1119
"571","11301",1,6574
"572","11301",2,4432
"573","11312",1,43509.5
"574","11312",2,16394
"575","11313",1,7609
"576","11313",2,2123
"577","11313",3,1713.5
"578","11321",1,26317
"579","11323",1,13759
"580","11323",2,9488.5
"581","11323",3,9422
"582","11323",4,4778.5
"583","11323",5,1233.5
"584","11323",6,854
"585","11326",1,117797
"586","11326",2,22519.5
"587","11326",3,18665
"588","11326",4,7314.5
"589","11326",5,2413
"590","11326",6,2060
"591","11326",7,1046
"592","11326",8,923
"593","11333",1,173487
"594","11333",2,23654
"595","11333",3,5218
"596","11334",1,124391.5
"597","11334",2,935.5
"598","11336",1,71254.5
"599","11336",2,6932
"600","11336",3,4081.5
"601","11336",4,2105.5
"602","11336",5,1707.5
"603","11336",6,943
"604","11336",7,943
"605","11336",8,811
"606","11342",1,129958
"607","11345",1,82750.5
"608","11346",1,133755
"609","11346",2,3655.5
"610","11351",1,202068
"611","11351",2,1311.5
"612","11351",3,1298.5
"613","11351",4,1210.5
"614","11351",5,1177.5
"615","11351",6,1086.5
"616","11351",7,867
"617","11352",1,73498
"618","11352",2,63910
"619","11352",3,14308.5
"620","11352",4,7689.5
"621","11352",5,3876.5
"622","11352",6,2742.5
"623","11352",7,2236
"624","11352",8,1421
"625","11352",9,1307.5
"626","11352",10,1210.5
"627","11352",11,859.5
"628","11357",1,582940.5
"629","11357",2,3094.5
"630","11357",3,2678
"631","11357",4,1335.5
"632","11357",5,988
"633","11358",1,117503.5
"634","11358",2,103938.5
"635","11358",3,1909
"636","11358",4,1580.5
"637","11358",5,1364
"638","11358",6,1295.5
"639","11358",7,1177.5
"640","11358",8,909.5
"641","11361",1,110606.5
"642","11361",2,1744.5
"643","11364",1,58202
"644","11364",2,2081
"645","11364",3,2090
"646","11368",1,88020
"647","11368",2,53903.5
"648","11368",3,39061.5
"649","11372",1,36883
"650","11372",2,3368.5
"651","11372",3,2993.5
"652","11372",4,2815.5
"653","11372",5,1891.5
"654","11372",6,989
"655","11372",7,933.5
"656","11373",1,98417
"657","11373",2,1773.5
"658","11373",3,1632
"659","11373",4,906.5
"660","11373",5,886
"661","11374",1,117549
"662","11374",2,96690.5
"663","11374",3,4866
"664","11374",4,3134
"665","11375",1,199814.5
"666","11375",2,16460.5
"667","11375",3,2900.5
"668","11377",1,60477
"669","11388",1,205173.5
"670","11389",1,190303
"671","11391",1,54928.5
"672","11391",2,23596.5
"673","11391",3,4033.5
"674","11391",4,2608.5
"675","11391",5,2373
"676","11391",6,1436.5
"677","11398",1,71051.5
