sample,method,MCC,ARI
Normal_6_equil_TRUE_pn_100_seed_41,PPM,0.468085106382979,0.435704514363885
Normal_6_equil_TRUE_pn_100_seed_41,PPM_window5,1,1
Normal_6_equil_TRUE_pn_100_seed_41,PPM_window10,1,1
Normal_6_equil_TRUE_pn_100_seed_41,PPI,1,1
Normal_6_equil_TRUE_pn_100_seed_41,PPI_window5,1,1
Normal_6_equil_TRUE_pn_100_seed_41,PPI_window10,1,1
Normal_6_equil_TRUE_pn_100_seed_41,ALDUQ,0.290780141843972,0.263614401723084
Normal_6_equil_TRUE_pn_100_seed_41,ALDUQ_window5,1,1
Normal_6_equil_TRUE_pn_100_seed_41,ALDUQ_window10,1,1
Normal_6_equil_TRUE_pn_100_seed_41,chull,0.437594974493684,0.234985765285372
Normal_6_equil_TRUE_pn_100_seed_41,chull_window5,0.505291152639911,0.330885820141462
Normal_6_equil_TRUE_pn_100_seed_41,chull_window10,0.505291152639911,0.330885820141462
