sample,method,MCC,ARI
Normal_5_equil_FALSE_pn_200_seed_27,PPM,0.794845360824742,0.786389892272967
Normal_5_equil_FALSE_pn_200_seed_27,PPM_window5,1,1
Normal_5_equil_FALSE_pn_200_seed_27,PPM_window10,1,1
Normal_5_equil_FALSE_pn_200_seed_27,PPI,0.910515129301697,0.901686681179785
Normal_5_equil_FALSE_pn_200_seed_27,PPI_window5,0.910515129301697,0.901686681179785
Normal_5_equil_FALSE_pn_200_seed_27,PPI_window10,0.910515129301697,0.901686681179785
Normal_5_equil_FALSE_pn_200_seed_27,ALDUQ,-0.0306536745973957,-0.0285776745563844
Normal_5_equil_FALSE_pn_200_seed_27,ALDUQ_window5,0.317922396538704,0.299613775970519
Normal_5_equil_FALSE_pn_200_seed_27,ALDUQ_window10,0.840786503242854,0.81940302862067
Normal_5_equil_FALSE_pn_200_seed_27,chull,0.384874464637332,0.27761231038342
Normal_5_equil_FALSE_pn_200_seed_27,chull_window5,0.542937314830222,0.427095002068364
Normal_5_equil_FALSE_pn_200_seed_27,chull_window10,0.542937314830222,0.427095002068364
