sample,method,MCC,ARI
Normal_5_equil_TRUE_pn_150_seed_40,PPM,1,1
Normal_5_equil_TRUE_pn_150_seed_40,PPM_window5,1,1
Normal_5_equil_TRUE_pn_150_seed_40,PPM_window10,1,1
Normal_5_equil_TRUE_pn_150_seed_40,PPI,1,1
Normal_5_equil_TRUE_pn_150_seed_40,PPI_window5,1,1
Normal_5_equil_TRUE_pn_150_seed_40,PPI_window10,1,1
Normal_5_equil_TRUE_pn_150_seed_40,ALDUQ,-0.0344827586206897,-0.0325028873123237
Normal_5_equil_TRUE_pn_150_seed_40,ALDUQ_window5,1,1
Normal_5_equil_TRUE_pn_150_seed_40,ALDUQ_window10,1,1
Normal_5_equil_TRUE_pn_150_seed_40,chull,0.447914008764683,0.288011474470923
Normal_5_equil_TRUE_pn_150_seed_40,chull_window5,0.487595679102565,0.341414041365136
Normal_5_equil_TRUE_pn_150_seed_40,chull_window10,0.502865352970744,0.362266980363507
