sample,beta_sigma,estK,method,MCC,ARI,TPR,FPR
Normal_5_equil_TRUE_pn_150_seed_10,4/n,5,PPM_window5,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,5,PPI,0.909717652294684,0.899112502669763,0.833333333333333,0.00689655172413793
Normal_5_equil_TRUE_pn_150_seed_10,4/n,5,PPI_window5,0.909717652294684,0.899112502669763,0.833333333333333,0.00689655172413793
Normal_5_equil_TRUE_pn_150_seed_10,4/n,7,PPM,0.793103448275862,0.78169938953968,0.8,0.00689655172413793
Normal_5_equil_TRUE_pn_150_seed_10,4/n,7,PPM_window5,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,7,PPI,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,7,PPI_window5,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,3,PPM,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,3,PPM_window5,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,3,PPI,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,3,PPI_window5,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,9,PPM,0.586206896551724,0.569298795578288,0.6,0.0137931034482759
Normal_5_equil_TRUE_pn_150_seed_10,4/n,9,PPM_window5,1,1,1,0
Normal_5_equil_TRUE_pn_150_seed_10,4/n,9,PPI,0.909717652294684,0.899112502669763,0.833333333333333,0.00689655172413793
Normal_5_equil_TRUE_pn_150_seed_10,4/n,9,PPI_window5,0.909717652294684,0.899112502669763,0.833333333333333,0.00689655172413793
