"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","5.80","9.00","329.44","329.44 (0.00, 43523100707.46)","0.54"
"2","sd","18.10","7.31","72794990.70","72794990.70 (94.70, 55959034465124.92)","0.009"
"3","kurtosis","0.09","0.05","1.10","1.10 (1.00, 1.20)","0.05"
"4","skewness","-0.96","0.38","0.38","0.38 (0.19, 0.79)","0.009"
"5","K","0.01","0.01","1.01","1.01 (1.00, 1.03)","0.09"
"6","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.78"
"7","stage","","","","",""
"8","\ \ \ 1 (ref)","-","-","-","-","-"
"9","\ \ \ 2","0.50","0.38","1.65","1.65 (0.52, 5.28)","0.40"
"10","\ \ \ 3","1.19","0.28","3.30","3.30 (1.53, 7.13)","0.002"
"11","\ \ \ 4","1.79","0.36","6.00","6.00 (2.30, 15.66)","<0.001"
"12","tobaccoTRUE","-0.04","0.23","0.96","0.96 (0.51, 1.80)","0.90"
"13","femaleTRUE","-0.12","0.24","0.89","0.89 (0.49, 1.62)","0.69"
