"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","-0.12","0.12","0.88","0.88 (0.69, 1.14)","0.34"
"2","sd","-0.27","0.15","0.76","0.76 (0.59, 0.99)","0.04"
"3","kurtosis","-0.49","0.18","0.61","0.61 (0.44, 0.86)","0.004"
"4","skewness","1.88","0.56","6.57","6.57 (2.22, 19.41)","<0.001"
"5","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.40"
"6","stage","","","","",""
"7","\ \ \ 1 (ref)","-","-","-","-","-"
"8","\ \ \ 2","0.47","0.38","1.61","1.61 (0.48, 5.40)","0.44"
"9","\ \ \ 3","1.16","0.27","3.18","3.18 (1.53, 6.64)","0.002"
"10","\ \ \ 4","1.85","0.36","6.33","6.33 (2.56, 15.65)","<0.001"
"11","tobaccoTRUE","-0.07","0.23","0.93","0.93 (0.50, 1.75)","0.82"
"12","femaleTRUE","-0.15","0.24","0.86","0.86 (0.48, 1.55)","0.62"
"13","K","0.01","0.01","1.01","1.01 (1.00, 1.03)","0.07"
