"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-4.314,1.015,"10126",1,500,"-1",46
"2",1.395,1.115,"10126",1,500,"1",46
"3",-4.374,1.316,"10126",1,500,"-1",45
"4",1.465,2.459,"10126",1,500,"1",45
"5",-3.73,2.013,"10126",1,500,"-1",44
"6",4.257,2.671,"10126",1,500,"1",44
"7",-1.791,2.099,"10126",1,500,"-1",42
"8",3.004,1.703,"10126",1,500,"1",42
"9",0.265,0.849,"10126",1,500,"-1",41
"10",2.779,0.791,"10126",1,500,"1",41
"11",-5.419,1.352,"10126",1,500,"-1",40
"12",0.515,1.728,"10126",1,500,"1",40
"13",-0.96,4.508,"10126",1,500,"-1",39
"14",2.711,1.773,"10126",1,500,"1",39
"15",-4.926,5.952,"10126",1,500,"-1",38
"16",2.859,2.194,"10126",1,500,"1",38
"17",-0.588,2.2,"10126",1,500,"-1",37
"18",6.337,1.472,"10126",1,500,"1",37
"19",-4.156,2.266,"10126",1,500,"-1",36
"20",2.549,2.429,"10126",1,500,"1",36
"21",-0.885,2.648,"10126",1,500,"-1",35
"22",7.541,2.17,"10126",1,500,"1",35
"23",-2.614,3.27,"10126",1,500,"-1",34
"24",8.711,3.257,"10126",1,500,"1",34
"25",-4.33,2.742,"10126",1,500,"-1",33
"26",4.411,2.83,"10126",1,500,"1",33
"27",-3.465,4.428,"10126",1,500,"-1",32
"28",-0.301,1.462,"10126",1,500,"1",32
"29",-0.681,1.541,"10126",1,500,"-1",30
"30",4.478,2.089,"10126",1,500,"1",30
"31",-1.451,2.656,"10126",1,500,"-1",29
"32",7.541,1.758,"10126",1,500,"1",29
"33",-3.617,1.541,"10126",1,500,"-1",28
"34",1.942,1.674,"10126",1,500,"1",28
"35",-0.288,0.281,"10126",1,500,"-1",27
"36",1.889,0.84,"10126",1,500,"1",27
"37",-6.271,1.887,"10126",1,500,"-1",26
"38",-0.27,2.21,"10126",1,500,"1",26
"39",-1.324,1.697,"10126",1,500,"-1",25
"40",3.059,1.505,"10126",1,500,"1",25
"41",-5.708,2.092,"10126",1,500,"-1",24
"42",1.65,2.584,"10126",1,500,"1",24
"43",-0.793,2.075,"10126",1,500,"-1",23
"44",4.818,1.973,"10126",1,500,"1",23
"45",-0.914,1.584,"10126",1,500,"-1",22
"46",5.251,1.471,"10126",1,500,"1",22
"47",0.592,1.19,"10126",1,500,"-1",20
"48",7.246,2.544,"10126",1,500,"1",20
"49",0.723,0.54,"10126",1,500,"-1",19
"50",2.604,0.506,"10126",1,500,"1",19
"51",-5.323,1.49,"10126",1,500,"-1",18
"52",-1.183,1.898,"10126",1,500,"1",18
"53",-0.216,1.963,"10126",1,500,"-1",17
"54",3.708,0.96,"10126",1,500,"1",17
"55",-3.315,1.405,"10126",1,500,"-1",16
"56",-0.146,1.632,"10126",1,500,"1",16
"57",-8.48,4.719,"10126",1,500,"-1",15
"58",3.848,5.675,"10126",1,500,"1",15
"59",-4.1,1.825,"10126",1,500,"-1",14
"60",4.661,3.082,"10126",1,500,"1",14
"61",-2.253,2.742,"10126",1,500,"-1",13
"62",5.067,2.53,"10126",1,500,"1",13
"63",-1.502,0.262,"10126",1,500,"-1",12
"64",0.158,0.354,"10126",1,500,"1",12
"65",-5.003,0.549,"10126",1,500,"-1",11
"66",-0.628,2.029,"10126",1,500,"1",11
"67",-2.265,1.401,"10126",1,500,"-1",10
"68",2.64,2.922,"10126",1,500,"1",10
"69",-1.024,2.194,"10126",1,500,"-1",9
"70",4.522,1.39,"10126",1,500,"1",9
"71",-4.541,1.775,"10126",1,500,"-1",8
"72",1,2.936,"10126",1,500,"1",8
"73",0.849,0.658,"10126",1,500,"-1",7
"74",3.335,0.84,"10126",1,500,"1",7
"75",-3.821,2.02,"10126",1,500,"-1",6
"76",0.691,1.527,"10126",1,500,"1",6
"77",-1.714,1.663,"10126",1,500,"-1",5
"78",3.125,2.588,"10126",1,500,"1",5
"79",-2.317,1.876,"10126",1,500,"-1",4
"80",3.084,0.782,"10126",1,500,"1",4
"81",-2.525,5.181,"10126",1,500,"-1",3
"82",8.697,1.037,"10126",1,500,"1",3
"83",2.786,2.62,"10126",1,500,"-1",2
"84",8.969,1.138,"10126",1,500,"1",2
"85",-4.425,2.726,"10126",1,500,"-1",1
"86",3.02,2.92,"10126",1,500,"1",1
