"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-0.54,2.166,"9668",1,500,"-1",68
"2",5.024,1.428,"9668",1,500,"1",68
"3",-1.95,2.741,"9668",1,500,"-1",67
"4",4.936,2.081,"9668",1,500,"1",67
"5",-2.299,1.84,"9668",1,500,"-1",66
"6",2.766,1.142,"9668",1,500,"1",66
"7",-0.379,1.255,"9668",1,500,"-1",65
"8",0.115,4.678,"9668",1,500,"1",65
"9",-2.028,1.515,"9668",1,500,"-1",64
"10",3.328,1.677,"9668",1,500,"1",64
"11",-2.516,3.286,"9668",1,500,"-1",63
"12",6.348,3.399,"9668",1,500,"1",63
"13",-0.238,0.638,"9668",1,500,"-1",62
"14",1.485,0.639,"9668",1,500,"1",62
"15",-8.931,2.105,"9668",1,500,"-1",61
"16",0.1,3.673,"9668",1,500,"1",61
"17",-7.743,3.163,"9668",1,500,"-1",60
"18",2.708,4.947,"9668",1,500,"1",60
"19",0.417,1.419,"9668",1,500,"-1",59
"20",3.109,5.801,"9668",1,500,"1",59
"21",-1.749,1.39,"9668",1,500,"-1",58
"22",2.657,1.648,"9668",1,500,"1",58
"23",-4.292,1.407,"9668",1,500,"-1",57
"24",-0.762,0.896,"9668",1,500,"1",57
"25",-4.857,1.338,"9668",1,500,"-1",56
"26",1.748,2.053,"9668",1,500,"1",56
"27",-1.224,0.896,"9668",1,500,"-1",55
"28",1.889,1,"9668",1,500,"1",55
"29",-3.977,1.459,"9668",1,500,"-1",54
"30",0.025,1.037,"9668",1,500,"1",54
"31",-4.941,0.931,"9668",1,500,"-1",53
"32",1.191,2.268,"9668",1,500,"1",53
"33",-5.186,0.902,"9668",1,500,"-1",52
"34",-0.438,1.565,"9668",1,500,"1",52
"35",-0.888,2.607,"9668",1,500,"-1",51
"36",-0.879,2.608,"9668",1,500,"1",51
"37",-3.424,2.139,"9668",1,500,"-1",50
"38",1.818,1.714,"9668",1,500,"1",50
"39",-7.315,2.557,"9668",1,500,"-1",49
"40",1.659,3.297,"9668",1,500,"1",49
"41",-0.704,2.074,"9668",1,500,"-1",48
"42",4.36,0.28,"9668",1,500,"1",48
"43",-8.303,2.933,"9668",1,500,"-1",47
"44",4.118,4.422,"9668",1,500,"1",47
"45",-9.823,5.808,"9668",1,500,"-1",45
"46",10.973,4.551,"9668",1,500,"1",45
"47",-10.223,2.746,"9668",1,500,"-1",44
"48",-1.924,3.593,"9668",1,500,"1",44
"49",-5.823,1.51,"9668",1,500,"-1",43
"50",-1.427,0.869,"9668",1,500,"1",43
"51",-1.206,2.382,"9668",1,500,"-1",42
"52",5.639,1.377,"9668",1,500,"1",42
"53",-4.655,0.812,"9668",1,500,"-1",41
"54",1.241,1.889,"9668",1,500,"1",41
"55",-3.423,3.214,"9668",1,500,"-1",40
"56",3.626,2.577,"9668",1,500,"1",40
"57",-4.294,3.969,"9668",1,500,"-1",39
"58",0.024,1.054,"9668",1,500,"1",39
"59",-2.312,1.708,"9668",1,500,"-1",38
"60",2.927,1.926,"9668",1,500,"1",38
"61",-8.748,2.926,"9668",1,500,"-1",37
"62",-0.786,2.498,"9668",1,500,"1",37
"63",-2.021,1.255,"9668",1,500,"-1",36
"64",1.392,1.446,"9668",1,500,"1",36
"65",-10.422,1.442,"9668",1,500,"-1",35
"66",-3.817,1.969,"9668",1,500,"1",35
"67",-2.262,1.744,"9668",1,500,"-1",34
"68",1.646,1.505,"9668",1,500,"1",34
"69",-1.434,1.085,"9668",1,500,"-1",33
"70",2.235,1.811,"9668",1,500,"1",33
"71",-3.123,2.327,"9668",1,500,"-1",32
"72",2.717,2.2,"9668",1,500,"1",32
"73",-2.321,3.776,"9668",1,500,"-1",31
"74",1.92,1.292,"9668",1,500,"1",31
"75",-3.706,1.329,"9668",1,500,"-1",30
"76",1.364,2.083,"9668",1,500,"1",30
"77",-4.907,1.94,"9668",1,500,"-1",29
"78",1.587,2.243,"9668",1,500,"1",29
"79",-2.613,2.454,"9668",1,500,"-1",28
"80",5.838,4.352,"9668",1,500,"1",28
"81",1.163,5.329,"9668",1,500,"-1",27
"82",1.228,5.326,"9668",1,500,"1",27
"83",-0.182,1.76,"9668",1,500,"-1",26
"84",4.453,0.888,"9668",1,500,"1",26
"85",-1.731,2.596,"9668",1,500,"-1",25
"86",5.852,2.163,"9668",1,500,"1",25
"87",-1.223,2.257,"9668",1,500,"-1",24
"88",3.526,1.503,"9668",1,500,"1",24
"89",-3.596,1.124,"9668",1,500,"-1",23
"90",-0.635,0.877,"9668",1,500,"1",23
"91",-0.613,1.803,"9668",1,500,"-1",22
"92",4.813,0.738,"9668",1,500,"1",22
"93",-0.344,2.559,"9668",1,500,"-1",21
"94",6.582,1.39,"9668",1,500,"1",21
"95",-1.267,0.778,"9668",1,500,"-1",20
"96",2.84,1.559,"9668",1,500,"1",20
"97",-1.159,2.174,"9668",1,500,"-1",19
"98",5.347,1.531,"9668",1,500,"1",19
"99",0.523,1.91,"9668",1,500,"-1",18
"100",1.787,6.656,"9668",1,500,"1",18
"101",-1.772,0.468,"9668",1,500,"-1",17
"102",0.319,1.231,"9668",1,500,"1",17
"103",-1.83,2.453,"9668",1,500,"-1",16
"104",5.21,2.153,"9668",1,500,"1",16
"105",-1.796,3.385,"9668",1,500,"-1",15
"106",-0.268,0.816,"9668",1,500,"1",15
"107",-1.259,3.816,"9668",1,500,"-1",14
"108",6.531,1.376,"9668",1,500,"1",14
"109",-6.912,2.694,"9668",1,500,"-1",13
