"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.037,1.067,"10877",1,20,"-1"
"2",0.053,3.073,"10877",1,20,"1"
"3",-0.368,1.109,"10877",2,20,"-1"
"4",0.823,3.115,"10877",2,20,"1"
"5",0.075,0.966,"10877",3,20,"-1"
"6",0.714,3.045,"10877",3,20,"1"
"7",-0.601,0.816,"10877",4,20,"-1"
"8",0.351,2.371,"10877",4,20,"1"
"9",-0.037,0.716,"10877",5,20,"-1"
"10",-0.107,2.202,"10877",5,20,"1"
"11",-0.257,0.888,"10877",6,20,"-1"
"12",0.743,2.347,"10877",6,20,"1"
"13",0.027,0.865,"10877",7,20,"-1"
"14",0.004,2.275,"10877",7,20,"1"
"15",-0.605,1.196,"10877",8,20,"-1"
"16",2.053,1.182,"10877",8,20,"1"
"17",-0.237,0.74,"10877",9,20,"-1"
"18",0.584,2.005,"10877",9,20,"1"
"19",-0.036,0.646,"10877",10,20,"-1"
"20",0.143,2.124,"10877",10,20,"1"
"21",-0.076,0.711,"10877",11,20,"-1"
"22",-0.653,1.952,"10877",11,20,"1"
"23",-0.709,1.07,"10877",12,20,"-1"
"24",1.608,1.161,"10877",12,20,"1"
