"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",0.064,1.134,"10499",1,20,"-1"
"2",0.151,3.655,"10499",1,20,"1"
"3",-0.697,1.11,"10499",2,20,"-1"
"4",0.685,3.142,"10499",2,20,"1"
"5",-0.626,1.027,"10499",3,20,"-1"
"6",0.82,2.525,"10499",3,20,"1"
"7",-0.429,0.702,"10499",4,20,"-1"
"8",0.772,2.132,"10499",4,20,"1"
"9",-0.352,1.169,"10499",5,20,"-1"
"10",2.135,0.938,"10499",5,20,"1"
"11",-0.19,0.944,"10499",6,20,"-1"
"12",-0.467,3.066,"10499",6,20,"1"
"13",-2.044,0.818,"10499",7,20,"-1"
"14",0.089,1.078,"10499",7,20,"1"
