"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-9.668,3.888,"10419",1,500,"-1",45
"2",3.279,4.35,"10419",1,500,"1",45
"3",-6.759,2.251,"10419",1,500,"-1",44
"4",-0.569,1.134,"10419",1,500,"1",44
"5",-6.704,1.868,"10419",1,500,"-1",43
"6",1.851,2.892,"10419",1,500,"1",43
"7",-0.351,3.013,"10419",1,500,"-1",42
"8",1.342,0.9,"10419",1,500,"1",42
"9",-0.45,1.645,"10419",1,500,"-1",41
"10",3.675,1.541,"10419",1,500,"1",41
"11",0.894,1.095,"10419",1,500,"-1",40
"12",1.549,4.343,"10419",1,500,"1",40
"13",0.264,3.62,"10419",1,500,"-1",39
"14",0.7,1.006,"10419",1,500,"1",39
"15",-2.201,3.127,"10419",1,500,"-1",38
"16",7.206,2.073,"10419",1,500,"1",38
"17",-3.473,1.6,"10419",1,500,"-1",37
"18",1.692,2.669,"10419",1,500,"1",37
"19",-2.533,2.822,"10419",1,500,"-1",36
"20",0.66,8.607,"10419",1,500,"1",36
"21",-1.031,0.863,"10419",1,500,"-1",35
"22",1.396,0.786,"10419",1,500,"1",35
"23",-6.429,1.176,"10419",1,500,"-1",34
"24",0.559,2.285,"10419",1,500,"1",34
"25",-5.876,2.134,"10419",1,500,"-1",33
"26",1.328,2.33,"10419",1,500,"1",33
"27",-5.095,2.646,"10419",1,500,"-1",32
"28",2.833,2.665,"10419",1,500,"1",32
"29",-2.351,2.193,"10419",1,500,"-1",31
"30",2.64,1.666,"10419",1,500,"1",31
"31",-3.65,2.296,"10419",1,500,"-1",30
"32",5.335,4.024,"10419",1,500,"1",30
"33",-3.416,1.922,"10419",1,500,"-1",29
"34",1.768,1.821,"10419",1,500,"1",29
"35",-2.053,2.851,"10419",1,500,"-1",28
"36",5.878,0.903,"10419",1,500,"1",28
"37",-1.811,1.323,"10419",1,500,"-1",27
"38",1.685,0.828,"10419",1,500,"1",27
"39",-2.695,1.674,"10419",1,500,"-1",26
"40",4.027,0.894,"10419",1,500,"1",26
"41",-4.939,3.73,"10419",1,500,"-1",25
"42",3.897,2.487,"10419",1,500,"1",25
"43",-2.683,1.064,"10419",1,500,"-1",24
"44",0.618,1.03,"10419",1,500,"1",24
"45",-3.54,3.009,"10419",1,500,"-1",23
"46",4.341,3.128,"10419",1,500,"1",23
"47",-2.456,1.511,"10419",1,500,"-1",21
"48",2.517,2.425,"10419",1,500,"1",21
"49",-0.726,1.596,"10419",1,500,"-1",20
"50",1.557,4.805,"10419",1,500,"1",20
"51",-2.686,3.384,"10419",1,500,"-1",19
"52",7.126,4.029,"10419",1,500,"1",19
"53",-2.387,1.008,"10419",1,500,"-1",18
"54",0.866,1.484,"10419",1,500,"1",18
"55",-4.5,1.173,"10419",1,500,"-1",17
"56",0.593,2.2,"10419",1,500,"1",17
"57",-0.401,0.406,"10419",1,500,"-1",16
"58",0.986,0.428,"10419",1,500,"1",16
"59",-3.227,6.475,"10419",1,500,"-1",15
"60",-0.324,1.685,"10419",1,500,"1",15
"61",-1.336,3.186,"10419",1,500,"-1",14
"62",0.571,1.086,"10419",1,500,"1",14
"63",2.511,1.055,"10419",1,500,"-1",13
"64",5.416,0.857,"10419",1,500,"1",13
"65",-1.889,2.491,"10419",1,500,"-1",12
"66",6.207,2.407,"10419",1,500,"1",12
"67",-7.255,2.67,"10419",1,500,"-1",11
"68",1.937,1.817,"10419",1,500,"1",11
"69",-5.044,1.8,"10419",1,500,"-1",10
"70",1.821,2.573,"10419",1,500,"1",10
"71",-4.331,1.516,"10419",1,500,"-1",9
"72",-0.235,1.138,"10419",1,500,"1",9
"73",-5.015,1.2,"10419",1,500,"-1",8
"74",1.779,2.308,"10419",1,500,"1",8
"75",-3.487,1.531,"10419",1,500,"-1",7
"76",1.286,2.047,"10419",1,500,"1",7
"77",-2.783,1.772,"10419",1,500,"-1",6
"78",2.405,1.58,"10419",1,500,"1",6
"79",-0.109,2.824,"10419",1,500,"-1",5
"80",5.306,1.003,"10419",1,500,"1",5
"81",-4.957,1.174,"10419",1,500,"-1",4
"82",1.7,1.7,"10419",1,500,"1",4
"83",-2.321,0.813,"10419",1,500,"-1",3
"84",0.134,1.52,"10419",1,500,"1",3
"85",-4.738,1.393,"10419",1,500,"-1",2
"86",0.121,1.607,"10419",1,500,"1",2
"87",-0.591,1.4,"10419",1,500,"-1",1
"88",2.995,0.684,"10419",1,500,"1",1
