"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.277,1.192,"9531",1,20,"-1"
"2",3.006,1.121,"9531",1,20,"1"
"3",-0.633,1.158,"9531",2,20,"-1"
"4",2.051,0.944,"9531",2,20,"1"
"5",-0.664,0.75,"9531",3,20,"-1"
"6",1.193,0.77,"9531",3,20,"1"
"7",-1.133,1.072,"9531",4,20,"-1"
"8",1.303,0.866,"9531",4,20,"1"
"9",-1.024,0.898,"9531",5,20,"-1"
"10",1.104,0.884,"9531",5,20,"1"
"11",-1.329,0.878,"9531",6,20,"-1"
"12",0.777,1.027,"9531",6,20,"1"
"13",-1.282,0.686,"9531",7,20,"-1"
"14",0.413,0.813,"9531",7,20,"1"
"15",-0.533,0.745,"9531",8,20,"-1"
"16",1.337,0.958,"9531",8,20,"1"
"17",-0.647,0.833,"9531",9,20,"-1"
"18",1.276,0.727,"9531",9,20,"1"
"19",-0.732,0.772,"9531",10,20,"-1"
"20",1.067,0.911,"9531",10,20,"1"
