"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.674,1.378,"10130",1,20,"-1"
"2",2.545,1.471,"10130",1,20,"1"
"3",-0.322,1.123,"10130",2,20,"-1"
"4",1.189,3.344,"10130",2,20,"1"
"5",-0.287,1.136,"10130",3,20,"-1"
"6",1.094,2.836,"10130",3,20,"1"
"7",-3.318,2.089,"10130",4,20,"-1"
"8",0.204,1.391,"10130",4,20,"1"
"9",-0.123,1.005,"10130",5,20,"-1"
"10",0.413,3.093,"10130",5,20,"1"
"11",-1.002,1.129,"10130",6,20,"-1"
"12",1.008,0.873,"10130",6,20,"1"
"13",-0.194,0.862,"10130",7,20,"-1"
"14",0.086,2.326,"10130",7,20,"1"
"15",-0.954,1.017,"10130",8,20,"-1"
"16",1.368,1.063,"10130",8,20,"1"
"17",-0.372,0.698,"10130",9,20,"-1"
"18",0.494,1.752,"10130",9,20,"1"
"19",-0.099,0.973,"10130",10,20,"-1"
"20",1.264,2.521,"10130",10,20,"1"
"21",-0.332,1.38,"10130",11,20,"-1"
"22",0.566,0.687,"10130",11,20,"1"
"23",-0.132,0.813,"10130",12,20,"-1"
"24",0.504,2.322,"10130",12,20,"1"
"25",-0.089,2.218,"10130",13,20,"-1"
"26",-0.574,0.678,"10130",13,20,"1"
