"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.064,1.19,"11192",1,20,"-1"
"2",0.565,3.151,"11192",1,20,"1"
"3",-0.307,0.838,"11192",2,20,"-1"
"4",-0.085,2.376,"11192",2,20,"1"
"5",-0.041,0.886,"11192",3,20,"-1"
"6",0.197,2.566,"11192",3,20,"1"
"7",-1.174,0.944,"11192",4,20,"-1"
"8",0.898,1.055,"11192",4,20,"1"
"9",-0.27,0.726,"11192",5,20,"-1"
"10",1.528,0.781,"11192",5,20,"1"
"11",-0.683,0.983,"11192",6,20,"-1"
"12",1.44,0.911,"11192",6,20,"1"
"13",-0.61,1.302,"11192",7,20,"-1"
"14",2.573,0.982,"11192",7,20,"1"
"15",-0.499,0.698,"11192",8,20,"-1"
"16",1.362,0.9,"11192",8,20,"1"
"17",-1.305,0.954,"11192",9,20,"-1"
"18",0.829,1.027,"11192",9,20,"1"
"19",-1.58,0.727,"11192",10,20,"-1"
"20",0.511,0.908,"11192",10,20,"1"
