"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.484,1.134,"11030",1,20,"-1"
"2",0.542,3.046,"11030",1,20,"1"
"3",-0.205,1.037,"11030",2,20,"-1"
"4",0.867,2.842,"11030",2,20,"1"
"5",-0.447,0.86,"11030",3,20,"-1"
"6",0.397,2.339,"11030",3,20,"1"
"7",-0.361,0.801,"11030",4,20,"-1"
"8",0.633,2.073,"11030",4,20,"1"
"9",-0.984,1.019,"11030",5,20,"-1"
"10",1.598,1.056,"11030",5,20,"1"
"11",-0.476,0.885,"11030",6,20,"-1"
"12",1.551,0.862,"11030",6,20,"1"
"13",-1.153,0.854,"11030",7,20,"-1"
"14",1.003,0.849,"11030",7,20,"1"
