"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model","segs"
"1",0.915473338226875,0.0845266617731251,0.0404642645414625,0.959535735458538,"10876",1,500,"sign",1
"2",0.9,0.1,0.111111111111111,0.888888888888889,"10876",1,500,"gaussian",1
"3",0.934505710413891,0.0654942895861087,0.0706667476167126,0.929333252383287,"10876",1,500,"sign",2
"4",0.928571428571429,0.0714285714285714,0.08125,0.91875,"10876",1,500,"gaussian",2
"5",0.794386796798465,0.205613203201535,0.0900534481684174,0.909946551831583,"10876",1,500,"sign",3
"6",1,0,0.0666666666666667,0.933333333333333,"10876",1,500,"gaussian",3
"7",0.976720969255196,0.0232790307448041,0.0769360228057477,0.923063977194252,"10876",1,500,"sign",4
"8",0.842105263157895,0.157894736842105,0.108108108108108,0.891891891891892,"10876",1,500,"gaussian",4
"9",0.962185003440704,0.0378149965592956,0.0619708487798075,0.938029151220192,"10876",1,500,"sign",5
"10",0.869565217391304,0.130434782608696,0.181818181818182,0.818181818181818,"10876",1,500,"gaussian",5
"11",0.92399033972144,0.0760096602785604,0.0359455072523062,0.964054492747694,"10876",1,500,"sign",6
"12",0.877777777777778,0.122222222222222,0.0743243243243243,0.925675675675676,"10876",1,500,"gaussian",6
"13",0.867729657355785,0.132270342644215,0.0518044952363659,0.948195504763634,"10876",1,500,"sign",7
"14",0.75,0.25,0.0869565217391304,0.91304347826087,"10876",1,500,"gaussian",7
"15",0.96166581763399,0.0383341823660097,0.0395431427380507,0.960456857261949,"10876",1,500,"sign",8
"16",0.901408450704225,0.0985915492957746,0.0867052023121387,0.913294797687861,"10876",1,500,"gaussian",8
"17",0.944520221483445,0.0554797785165549,0.0347513164985741,0.965248683501426,"10876",1,500,"sign",9
"18",0.9,0.1,0.235294117647059,0.764705882352941,"10876",1,500,"gaussian",9
"19",0.971158479224771,0.0288415207752288,0.037107327993993,0.962892672006007,"10876",1,500,"sign",10
"20",0.948979591836735,0.0510204081632653,0.0806451612903226,0.919354838709677,"10876",1,500,"gaussian",10
"21",0.965688496411065,0.0343115035889348,0.0346621773933109,0.965337822606689,"10876",1,500,"sign",11
"22",0.9375,0.0625,0.162162162162162,0.837837837837838,"10876",1,500,"gaussian",11
"23",0.966116363789394,0.0338836362106063,0.0271013036372097,0.97289869636279,"10876",1,500,"sign",12
"24",0.903614457831325,0.0963855421686747,0.134328358208955,0.865671641791045,"10876",1,500,"gaussian",12
"25",0.936762772802726,0.0632372271972743,0.101046777032191,0.89895322296781,"10876",1,500,"sign",13
"26",0.886363636363636,0.113636363636364,0.214285714285714,0.785714285714286,"10876",1,500,"gaussian",13
"27",0.949837402122686,0.0501625978773144,0.0364508133563024,0.963549186643698,"10876",1,500,"sign",14
"28",0.923076923076923,0.0769230769230769,0.0892857142857143,0.910714285714286,"10876",1,500,"gaussian",14
"29",0.976291422877623,0.0237085771223772,0.0478999196826841,0.952100080317316,"10876",1,500,"sign",15
"30",0.848484848484849,0.151515151515152,0.1875,0.8125,"10876",1,500,"gaussian",15
"31",0.950658637835748,0.0493413621642519,0.0564687449727915,0.943531255027208,"10876",1,500,"sign",16
"32",0.636363636363636,0.363636363636364,0.0380952380952381,0.961904761904762,"10876",1,500,"gaussian",16
"33",0.964369385975825,0.0356306140241749,0.0358731543746452,0.964126845625355,"10876",1,500,"sign",17
"34",0.938775510204082,0.0612244897959184,0.0769230769230769,0.923076923076923,"10876",1,500,"gaussian",17
"35",0.945818410859359,0.0541815891406406,0.0730005819384607,0.926999418061539,"10876",1,500,"sign",18
"36",0.862068965517241,0.137931034482759,0.073394495412844,0.926605504587156,"10876",1,500,"gaussian",18
"37",0.916632167802559,0.0833678321974407,0.0773607919444178,0.922639208055582,"10876",1,500,"sign",19
"38",0.909090909090909,0.0909090909090909,0.142857142857143,0.857142857142857,"10876",1,500,"gaussian",19
"39",0.931996274029893,0.0680037259701071,0.0229736995435852,0.977026300456415,"10876",1,500,"sign",20
"40",0.82051282051282,0.179487179487179,0.140350877192982,0.859649122807018,"10876",1,500,"gaussian",20
