"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.153,1.001,"11352",1,20,"-1"
"2",0.54,2.832,"11352",1,20,"1"
"3",-0.217,0.973,"11352",2,20,"-1"
"4",0.661,2.784,"11352",2,20,"1"
"5",-0.338,1.014,"11352",3,20,"-1"
"6",0.693,2.737,"11352",3,20,"1"
"7",-0.522,0.982,"11352",4,20,"-1"
"8",1.134,2.402,"11352",4,20,"1"
"9",-0.751,0.902,"11352",5,20,"-1"
"10",1.374,1.097,"11352",5,20,"1"
"11",-0.384,0.963,"11352",6,20,"-1"
"12",0.988,2.618,"11352",6,20,"1"
"13",-0.711,1.106,"11352",7,20,"-1"
"14",1.62,0.74,"11352",7,20,"1"
"15",-0.653,0.766,"11352",8,20,"-1"
"16",1.291,0.949,"11352",8,20,"1"
"17",-0.662,0.917,"11352",9,20,"-1"
"18",1.656,0.918,"11352",9,20,"1"
"19",-0.135,0.969,"11352",10,20,"-1"
"20",0.718,2.75,"11352",10,20,"1"
"21",-0.204,0.95,"11352",11,20,"-1"
"22",2.722,0.972,"11352",11,20,"1"
