"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.521,1.008,"10380",1,20,"-1"
"2",0.746,2.585,"10380",1,20,"1"
"3",-0.564,1.351,"10380",2,20,"-1"
"4",2.694,1.427,"10380",2,20,"1"
"5",-0.296,0.76,"10380",3,20,"-1"
"6",0.478,2.321,"10380",3,20,"1"
"7",-0.172,0.926,"10380",4,20,"-1"
"8",0.258,2.614,"10380",4,20,"1"
"9",-1.017,1.167,"10380",5,20,"-1"
"10",1.806,1.252,"10380",5,20,"1"
"11",-0.322,0.96,"10380",6,20,"-1"
"12",0.61,2.782,"10380",6,20,"1"
"13",-0.327,1.048,"10380",7,20,"-1"
"14",1.416,2.815,"10380",7,20,"1"
"15",-0.136,0.867,"10380",8,20,"-1"
"16",-0.67,2.534,"10380",8,20,"1"
"17",-0.308,1.187,"10380",9,20,"-1"
"18",0.894,3.384,"10380",9,20,"1"
"19",-0.175,0.65,"10380",10,20,"-1"
"20",0.329,2.249,"10380",10,20,"1"
"21",-0.068,0.784,"10380",11,20,"-1"
"22",0.531,2.254,"10380",11,20,"1"
"23",-0.345,1.053,"10380",12,20,"-1"
"24",2.304,1.272,"10380",12,20,"1"
"25",-0.145,1.008,"10380",13,20,"-1"
"26",0.16,2.899,"10380",13,20,"1"
"27",-0.634,0.686,"10380",14,20,"-1"
"28",0.732,1.712,"10380",14,20,"1"
"29",-0.748,0.683,"10380",15,20,"-1"
"30",0.844,1.483,"10380",15,20,"1"
"31",-0.098,2.132,"10380",16,20,"-1"
"32",-0.052,0.679,"10380",16,20,"1"
"33",-0.515,1.942,"10380",17,20,"-1"
"34",-0.171,0.66,"10380",17,20,"1"
"35",-0.423,0.451,"10380",18,20,"-1"
"36",0.257,1.381,"10380",18,20,"1"
"37",1.051,2.152,"10380",19,20,"-1"
"38",0.189,0.917,"10380",19,20,"1"
"39",-0.287,0.858,"10380",20,20,"-1"
"40",0.5,2.447,"10380",20,20,"1"
"41",-0.724,2.808,"10380",21,20,"-1"
"42",-0.293,0.906,"10380",21,20,"1"
"43",-0.209,1.236,"10380",22,20,"-1"
"44",3.607,1.219,"10380",22,20,"1"
"45",-0.765,0.929,"10380",23,20,"-1"
"46",1.586,1.135,"10380",23,20,"1"
