"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model"
"1",0.916460762845893,0.0835392371541075,0.0959619580221773,0.904038041977823,"9532",1,20,"sign"
"2",0.798092209856916,0.201907790143084,0.205501618122977,0.794498381877023,"9532",1,20,"gaussian"
"3",0.814535971364484,0.185464028635516,0.0541725885647895,0.94582741143521,"9532",2,20,"sign"
"4",0.786324786324786,0.213675213675214,0.21551724137931,0.78448275862069,"9532",2,20,"gaussian"
"5",0.911332064002249,0.0886679359977511,0.130915151136423,0.869084848863577,"9532",3,20,"sign"
"6",0.789473684210526,0.210526315789474,0.18,0.82,"9532",3,20,"gaussian"
"7",0.917494682121469,0.0825053178785313,0.183736929880391,0.816263070119609,"9532",4,20,"sign"
"8",0.8,0.2,0.141935483870968,0.858064516129032,"9532",4,20,"gaussian"
"9",0.900565899032529,0.0994341009674711,0.115652477584779,0.884347522415222,"9532",5,20,"sign"
"10",0.7,0.3,0.153846153846154,0.846153846153846,"9532",5,20,"gaussian"
"11",0.898729117100914,0.101270882899086,0.152465741255513,0.847534258744487,"9532",6,20,"sign"
"12",0.752475247524752,0.247524752475248,0.2,0.8,"9532",6,20,"gaussian"
"13",0.871438390006435,0.128561609993565,0.0941570593642062,0.905842940635794,"9532",7,20,"sign"
"14",0.787096774193548,0.212903225806452,0.185393258426966,0.814606741573034,"9532",7,20,"gaussian"
"15",0.934780753806027,0.0652192461939728,0.129475761516264,0.870524238483737,"9532",8,20,"sign"
"16",0.725190839694656,0.274809160305344,0.163636363636364,0.836363636363636,"9532",8,20,"gaussian"
"17",0.953971233864007,0.0460287661359929,0.122015234246262,0.877984765753739,"9532",9,20,"sign"
"18",0.757575757575758,0.242424242424242,0.171270718232044,0.828729281767956,"9532",9,20,"gaussian"
