"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.325,1.027,"11336",1,20,"-1"
"2",0.621,2.643,"11336",1,20,"1"
"3",-0.366,0.871,"11336",2,20,"-1"
"4",0.977,2.398,"11336",2,20,"1"
"5",-0.211,0.747,"11336",3,20,"-1"
"6",0.309,2.458,"11336",3,20,"1"
"7",-1.663,1.043,"11336",4,20,"-1"
"8",0.72,1.099,"11336",4,20,"1"
"9",-0.392,0.918,"11336",5,20,"-1"
"10",2.175,0.976,"11336",5,20,"1"
"11",-0.378,0.741,"11336",6,20,"-1"
"12",0.093,1.969,"11336",6,20,"1"
"13",-2.188,0.755,"11336",7,20,"-1"
"14",0.367,1.13,"11336",7,20,"1"
"15",-0.298,0.925,"11336",8,20,"-1"
"16",1.994,1.027,"11336",8,20,"1"
