"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.294,1.159,"11372",1,20,"-1"
"2",1.147,3.078,"11372",1,20,"1"
"3",-0.197,1.253,"11372",2,20,"-1"
"4",3.349,1.587,"11372",2,20,"1"
"5",-0.242,1.196,"11372",3,20,"-1"
"6",1.252,2.66,"11372",3,20,"1"
"7",-0.228,3.035,"11372",4,20,"-1"
"8",0.145,1.095,"11372",4,20,"1"
"9",-2.586,1.133,"11372",5,20,"-1"
"10",0.181,1.172,"11372",5,20,"1"
"11",0.032,0.818,"11372",6,20,"-1"
"12",0.05,2.307,"11372",6,20,"1"
"13",-0.249,0.884,"11372",7,20,"-1"
"14",2.23,0.605,"11372",7,20,"1"
