"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.285,0.975,"10381",1,20,"-1"
"2",0.472,2.769,"10381",1,20,"1"
"3",-0.259,0.847,"10381",2,20,"-1"
"4",0.335,2.525,"10381",2,20,"1"
"5",-0.243,0.873,"10381",3,20,"-1"
"6",0.156,2.721,"10381",3,20,"1"
"7",-0.254,0.888,"10381",4,20,"-1"
"8",1.221,2.07,"10381",4,20,"1"
"9",-0.933,0.919,"10381",5,20,"-1"
"10",1.195,0.854,"10381",5,20,"1"
"11",-1.15,0.924,"10381",6,20,"-1"
"12",0.895,1.02,"10381",6,20,"1"
"13",-0.524,1.005,"10381",7,20,"-1"
"14",1.721,1.067,"10381",7,20,"1"
"15",-0.776,0.871,"10381",8,20,"-1"
"16",1.197,0.977,"10381",8,20,"1"
