"","sample","shape","BetaSigma","Ra","Rq","Rv","Rp","Rx","Rsk","Rku","RzJIS"
"1","10130",1,20,1.53331818536337,2.02424664825793,8.24621125123532,9.21635375138065,17.462565002616,0.688056448666742,3.95464613524738,15.1242773951084
"2","10130",2,20,1.64308508778681,2.24136929429594,7.94413391490582,10.0724403226852,18.016574237591,0.707998668294539,4.50961555846723,16.9434649929881
"3","10130",3,20,1.47810394321058,1.95341576835772,7.00000000000001,8.52434065260441,15.5243406526044,0.488236990403144,4.07362954183729,14.2084872435894
"4","10130",4,20,1.46389060917736,2.04232256808704,11.7768651401459,4.6589572173332,16.4358223574791,-1.63639245699518,7.74561089580341,15.3607147583967
"5","10130",5,20,1.35093280464711,1.85762691924605,8.38434835257327,8.71314632718393,17.0974946797572,0.129344776266264,5.46269342474718,14.5848740863126
"6","10130",6,20,1.10120508096587,1.4250901260409,5.26965186413965,3.54260642940066,8.8122582935403,-0.434923781657653,3.56858318412977,7.60138573444924
"7","10130",7,20,1.2866597102286,1.66639445890219,4.43760156980187,5.49153194262978,9.92913351243165,0.0372551963201392,3.23734766052299,9.03654120748288
"8","10130",8,20,1.18936488658611,1.51906093644291,3.70588235294116,4.50468924578297,8.21057159872412,-0.0291121787952223,2.94094829380563,7.33384646067795
"9","10130",9,20,1.05038746122976,1.39350086877838,4.35571610343501,4.58496431940523,8.94068042284023,0.178448498337881,3.76946895653893,7.65280408075345
"10","10130",10,20,1.27674842854445,1.72939402004584,5,5.37587202228624,10.3758720222862,0.780537291361291,3.92130192354045,9.3267632450481
"11","10130",11,20,0.85204034029801,1.12300785935778,2.12132034355964,3.85373362630169,5.97505396986133,0.691725784093243,3.29709879229883,5.24162171350239
"12","10130",12,20,1.09653947439318,1.49241955637498,5.05964425626941,5.38245324361559,10.442097499885,0.166028562472287,4.66786472247172,9.29370228871971
"13","10130",13,20,1.23230274544729,1.68466988269942,7.6026311234993,3.11958874052888,10.7222198640282,-1.43811241533631,6.1347881673896,9.91560769031181
