"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-2.382,3.171,"10672",1,500,"-1",81
"2",8.694,2.423,"10672",1,500,"1",81
"3",-8.059,3.787,"10672",1,500,"-1",80
"4",2.989,3.705,"10672",1,500,"1",80
"5",-3.876,2.282,"10672",1,500,"-1",79
"6",4.516,2.321,"10672",1,500,"1",79
"7",-3.272,3.156,"10672",1,500,"-1",78
"8",3.985,2.374,"10672",1,500,"1",78
"9",-1.722,1.824,"10672",1,500,"-1",77
"10",2.151,1.422,"10672",1,500,"1",77
"11",-4.422,2.288,"10672",1,500,"-1",76
"12",4.451,2.5,"10672",1,500,"1",76
"13",-1.183,4.484,"10672",1,500,"-1",75
"14",8.368,1.009,"10672",1,500,"1",75
"15",-1.774,1.016,"10672",1,500,"-1",74
"16",1.675,1.883,"10672",1,500,"1",74
"17",1.774,3.979,"10672",1,500,"-1",73
"18",3.781,1.28,"10672",1,500,"1",73
"19",-4.062,1.256,"10672",1,500,"-1",72
"20",0.572,2.106,"10672",1,500,"1",72
"21",-2.651,1.938,"10672",1,500,"-1",71
"22",1.86,1.885,"10672",1,500,"1",71
"23",-4.793,1.927,"10672",1,500,"-1",70
"24",0.831,1.902,"10672",1,500,"1",70
"25",-0.513,1.279,"10672",1,500,"-1",69
"26",3.599,1.116,"10672",1,500,"1",69
"27",-3.71,1.178,"10672",1,500,"-1",68
"28",-0.28,1.152,"10672",1,500,"1",68
"29",-4.761,1.65,"10672",1,500,"-1",67
"30",1.312,2.044,"10672",1,500,"1",67
"31",-2.548,3.665,"10672",1,500,"-1",66
"32",6.317,2.13,"10672",1,500,"1",66
"33",-2.337,1.786,"10672",1,500,"-1",65
"34",2.677,1.638,"10672",1,500,"1",65
"35",-1.357,2.278,"10672",1,500,"-1",64
"36",4.502,2.22,"10672",1,500,"1",64
"37",-1.261,2.118,"10672",1,500,"-1",63
"38",4.929,0.933,"10672",1,500,"1",63
"39",-5.625,3.269,"10672",1,500,"-1",62
"40",-0.551,1.962,"10672",1,500,"1",62
"41",-1.653,3.074,"10672",1,500,"-1",61
"42",7.192,1.293,"10672",1,500,"1",61
"43",-3.211,2.505,"10672",1,500,"-1",60
"44",2.279,1.91,"10672",1,500,"1",60
"45",-2.051,2.077,"10672",1,500,"-1",59
"46",-0.151,0.673,"10672",1,500,"1",59
"47",-3.579,2.576,"10672",1,500,"-1",58
"48",3.684,2.245,"10672",1,500,"1",58
"49",-5.283,2.011,"10672",1,500,"-1",57
"50",1.327,2.775,"10672",1,500,"1",57
"51",-5.719,1.36,"10672",1,500,"-1",56
"52",2.697,2.298,"10672",1,500,"1",56
"53",-7.767,1.788,"10672",1,500,"-1",55
"54",-0.773,2.188,"10672",1,500,"1",55
"55",-3.205,1.348,"10672",1,500,"-1",54
"56",0.965,1.8,"10672",1,500,"1",54
"57",-0.46,1.658,"10672",1,500,"-1",53
"58",3.586,1.567,"10672",1,500,"1",53
"59",-1.603,1.34,"10672",1,500,"-1",52
"60",2.027,1.519,"10672",1,500,"1",52
"61",-1.786,1.199,"10672",1,500,"-1",51
"62",-0.208,4.156,"10672",1,500,"1",51
"63",-10.882,3.393,"10672",1,500,"-1",50
"64",-1.895,3.77,"10672",1,500,"1",50
"65",-5.745,1.858,"10672",1,500,"-1",49
"66",1.377,2.979,"10672",1,500,"1",49
"67",-4.06,0.937,"10672",1,500,"-1",48
"68",-0.267,2.084,"10672",1,500,"1",48
"69",-5.987,1.229,"10672",1,500,"-1",47
"70",0.079,2.916,"10672",1,500,"1",47
"71",-5.123,1.686,"10672",1,500,"-1",46
"72",0.706,2.901,"10672",1,500,"1",46
"73",-1.901,1.011,"10672",1,500,"-1",45
"74",0.579,1.02,"10672",1,500,"1",45
"75",-5.782,1.743,"10672",1,500,"-1",44
"76",-1.476,1.594,"10672",1,500,"1",44
"77",-2.996,2.079,"10672",1,500,"-1",43
"78",3.242,2.207,"10672",1,500,"1",43
"79",-3.451,1.825,"10672",1,500,"-1",42
"80",2.748,2.032,"10672",1,500,"1",42
"81",-1.08,1.172,"10672",1,500,"-1",41
"82",5.44,2.874,"10672",1,500,"1",41
"83",-1.657,1.544,"10672",1,500,"-1",40
"84",2.622,0.89,"10672",1,500,"1",40
"85",5.443,3.461,"10672",1,500,"-1",39
"86",15.445,2.123,"10672",1,500,"1",39
"87",-3.515,2.144,"10672",1,500,"-1",38
"88",2.442,2.938,"10672",1,500,"1",38
"89",-5.291,3.222,"10672",1,500,"-1",37
"90",3.823,2.077,"10672",1,500,"1",37
"91",-10.612,5.425,"10672",1,500,"-1",36
"92",4.721,5.764,"10672",1,500,"1",36
"93",-1.67,2.04,"10672",1,500,"-1",35
"94",4.249,2.134,"10672",1,500,"1",35
"95",-7.238,4.078,"10672",1,500,"-1",34
"96",0.542,2.119,"10672",1,500,"1",34
"97",-2.757,2.421,"10672",1,500,"-1",33
"98",5.108,2.494,"10672",1,500,"1",33
"99",-6.233,2.637,"10672",1,500,"-1",32
"100",1.477,3.169,"10672",1,500,"1",32
"101",-4.548,4.077,"10672",1,500,"-1",31
"102",5.92,3.09,"10672",1,500,"1",31
"103",-4.294,4.972,"10672",1,500,"-1",30
"104",-0.346,1.613,"10672",1,500,"1",30
"105",-2.431,1.021,"10672",1,500,"-1",29
"106",1.525,1.512,"10672",1,500,"1",29
"107",-2.665,1.079,"10672",1,500,"-1",28
"108",1.403,1.777,"10672",1,500,"1",28
"109",-2.728,3.055,"10672",1,500,"-1",27
"110",5.084,2.118,"10672",1,500,"1",27
"111",-8.53,2.875,"10672",1,500,"-1",26
"112",1.487,3.323,"10672",1,500,"1",26
"113",-1.036,0.441,"10672",1,500,"-1",25
"114",0.46,0.461,"10672",1,500,"1",25
"115",-1.556,2.491,"10672",1,500,"-1",23
"116",7.037,0.776,"10672",1,500,"1",23
"117",-2.03,2.46,"10672",1,500,"-1",22
"118",3.645,1.373,"10672",1,500,"1",22
"119",-8.598,1.822,"10672",1,500,"-1",21
"120",-0.699,4.361,"10672",1,500,"1",21
"121",-1.012,2.085,"10672",1,500,"-1",20
"122",5.662,2.079,"10672",1,500,"1",20
"123",-0.723,0.981,"10672",1,500,"-1",19
"124",0.401,5.016,"10672",1,500,"1",19
"125",0.214,0.93,"10672",1,500,"-1",18
"126",6.267,2.138,"10672",1,500,"1",18
"127",-1.048,2.514,"10672",1,500,"-1",17
"128",4.962,1.961,"10672",1,500,"1",17
"129",-4.315,1.583,"10672",1,500,"-1",16
"130",2.029,2.176,"10672",1,500,"1",16
"131",-5.44,2.556,"10672",1,500,"-1",15
"132",2.963,2.813,"10672",1,500,"1",15
"133",-0.392,4.877,"10672",1,500,"-1",14
"134",0.84,1.638,"10672",1,500,"1",14
"135",-2.052,2.815,"10672",1,500,"-1",13
"136",3.903,1.148,"10672",1,500,"1",13
"137",-2.857,2.119,"10672",1,500,"-1",12
"138",6.324,3.211,"10672",1,500,"1",12
"139",-1.406,4.58,"10672",1,500,"-1",11
"140",11,2.185,"10672",1,500,"1",11
"141",1.944,3.242,"10672",1,500,"-1",10
"142",9.23,1.572,"10672",1,500,"1",10
"143",-1.651,7.866,"10672",1,500,"-1",9
"144",-1.016,2.079,"10672",1,500,"1",9
"145",-12.241,3.85,"10672",1,500,"-1",8
"146",-2.118,3.043,"10672",1,500,"1",8
"147",-7.841,0.332,"10672",1,500,"-1",7
"148",-2.3,2.298,"10672",1,500,"1",7
"149",-7.993,2.045,"10672",1,500,"-1",6
"150",0.077,3.322,"10672",1,500,"1",6
"151",-2.342,3.119,"10672",1,500,"-1",5
"152",5.463,2.64,"10672",1,500,"1",5
"153",-2.55,1.279,"10672",1,500,"-1",4
"154",1.659,1.78,"10672",1,500,"1",4
"155",-4.215,2.117,"10672",1,500,"-1",3
"156",2.768,2.329,"10672",1,500,"1",3
"157",-2.524,1.394,"10672",1,500,"-1",2
"158",1.822,1.895,"10672",1,500,"1",2
"159",-0.593,2.012,"10672",1,500,"-1",1
"160",4.166,4.288,"10672",1,500,"1",1
