"","sample","K","shape","BetaSigma"
"1","10021",83,1,100
"2","10024",10,1,100
"3","10025",102,1,100
"4","10027",60,1,100
"5","10028",73,1,100
"6","10046",154,1,100
"7","10122",63,1,100
"8","10126",94,1,100
"9","10127",154,1,100
"10","10128",27,1,100
"11","10130",68,1,100
"12","10131",49,1,100
"13","10136",20,1,100
"14","10171",52,1,100
"15","10184",50,1,100
"16","10374",97,1,100
"17","10378",145,1,100
"18","10379",155,1,100
"19","10380",96,1,100
"20","10381",68,1,100
"21","10382",124,1,100
"22","10384",28,1,100
"23","10395",53,1,100
"24","10400",20,1,100
"25","10401",14,1,100
"26","10408",76,1,100
"27","10409",151,1,100
"28","10411",57,1,100
"29","10417",54,1,100
"30","10419",84,1,100
"31","10420",83,1,100
"32","10443",174,1,100
"33","10460",203,1,100
"34","10461",178,1,100
"35","10484",70,1,100
"36","10485",46,1,100
"37","10492",63,1,100
"38","10494",74,1,100
"39","10497",29,1,100
"40","10499",50,1,100
"41","10500",68,1,100
"42","10503",110,1,100
"43","10504",17,1,100
"44","10505",119,1,100
"45","10506",134,1,100
"46","10508",89,1,100
"47","10509",36,1,100
"48","10514",86,1,100
"49","10619",42,1,100
"50","10620",100,1,100
"51","10626",46,1,100
"52","10629",65,1,100
"53","10636",46,1,100
"54","10639",94,1,100
"55","10640",145,1,100
"56","10669",98,1,100
"57","10672",183,1,100
"58","10674",47,1,100
"59","10675",27,1,100
"60","10837",84,1,100
"61","10851",25,1,100
"62","10856",89,1,100
"63","10857",56,1,100
"64","10859",73,1,100
"65","10860",141,1,100
"66","10862",74,1,100
"67","10865",91,1,100
"68","10872",57,1,100
"69","10876",241,1,100
"70","10877",98,1,100
"71","10878",87,1,100
"72","10880",94,1,100
"73","10881",140,1,100
"74","10886",157,1,100
"75","10887",167,1,100
"76","10894",88,1,100
"77","10901",41,1,100
"78","10903",112,1,100
"79","10904",160,1,100
"80","10905",91,1,100
"81","10931",87,1,100
"82","10932",62,1,100
"83","10934",95,1,100
"84","10938",139,1,100
"85","10939",30,1,100
"86","10987",81,1,100
"87","10988",71,1,100
"88","10989",79,1,100
"89","10992",21,1,100
"90","10994",113,1,100
"91","10995",87,1,100
"92","10997",101,1,100
"93","10998",186,1,100
"94","10999",159,1,100
"95","11003",145,1,100
"96","11004",165,1,100
"97","11005",98,1,100
"98","11010",40,1,100
"99","11026",30,1,100
"100","11030",39,1,100
"101","11031",63,1,100
"102","11033",75,1,100
"103","11034",10,1,100
"104","11036",140,1,100
"105","11038",75,1,100
"106","11042",115,1,100
"107","11043",141,1,100
"108","11048",217,1,100
"109","11104",29,1,100
"110","11105",148,1,100
"111","11106",126,1,100
"112","11107",155,1,100
"113","11110",186,1,100
"114","11112",85,1,100
"115","11113",54,1,100
"116","11122",55,1,100
"117","11127",79,1,100
"118","11128",146,1,100
"119","11185",56,1,100
"120","11186",30,1,100
"121","11188",141,1,100
"122","11191",82,1,100
"123","11192",57,1,100
"124","11217",27,1,100
"125","11218",68,1,100
"126","11220",66,1,100
"127","11221",58,1,100
"128","11229",66,1,100
"129","11233",72,1,100
"130","11234",63,1,100
"131","11240",209,1,100
"132","11247",162,1,100
"133","11248",223,1,100
"134","11249",83,1,100
"135","11252",34,1,100
"136","11253",60,1,100
"137","11259",76,1,100
"138","11262",43,1,100
"139","11279",46,1,100
"140","11280",14,1,100
"141","11285",91,1,100
"142","11286",94,1,100
"143","11292",45,1,100
"144","11293",29,1,100
"145","11295",52,1,100
"146","11296",36,1,100
"147","11299",14,1,100
"148","11301",10,1,100
"149","11312",46,1,100
"150","11313",10,1,100
"151","11321",39,1,100
"152","11323",41,1,100
"153","11326",111,1,100
"154","11333",132,1,100
"155","11334",96,1,100
"156","11336",92,1,100
"157","11342",60,1,100
"158","11345",76,1,100
"159","11346",99,1,100
"160","11351",181,1,100
"161","11352",105,1,100
"162","11357",176,1,100
"163","11358",69,1,100
"164","11361",65,1,100
"165","11364",50,1,100
"166","11368",78,1,100
"167","11372",62,1,100
"168","11373",81,1,100
"169","11374",92,1,100
"170","11375",132,1,100
"171","11377",57,1,100
"172","11388",77,1,100
"173","11389",135,1,100
"174","11391",45,1,100
"175","11398",113,1,100
"176","11413",47,1,100
"177","11414",118,1,100
"178","11415",144,1,100
"179","11427",105,1,100
"180","11429",68,1,100
"181","11432",64,1,100
"182","11433",68,1,100
"183","11435",65,1,100
"184","11436",75,1,100
"185","11438",56,1,100
"186","11445",84,1,100
"187","11446",107,1,100
"188","11454",129,1,100
"189","11455",104,1,100
"190","11456",29,1,100
"191","11458",71,1,100
"192","11460",19,1,100
"193","11462",41,1,100
"194","11463",78,1,100
"195","11471",69,1,100
"196","11786",38,1,100
"197","11787",151,1,100
"198","11788",150,1,100
"199","9388",63,1,100
"200","9389",74,1,100
"201","9390",34,1,100
"202","9401",37,1,100
"203","9402",73,1,100
"204","9459",78,1,100
"205","9460",143,1,100
"206","9461",47,1,100
"207","9462",74,1,100
"208","9463",55,1,100
"209","9465",122,1,100
"210","9468",77,1,100
"211","9469",103,1,100
"212","9474",113,1,100
"213","9475",151,1,100
"214","9481",79,1,100
"215","9482",99,1,100
"216","9496",135,1,100
"217","9497",125,1,100
"218","9528",58,1,100
"219","9529",42,1,100
"220","9530",173,1,100
"221","9531",13,1,100
"222","9532",33,1,100
"223","9543",160,1,100
"224","9544",173,1,100
"225","9545",28,1,100
"226","9546",45,1,100
"227","9548",92,1,100
"228","9549",201,1,100
"229","9550",156,1,100
"230","9665",50,1,100
"231","9667",145,1,100
"232","9668",115,1,100
"233","9683",307,1,100
"234","9684",167,1,100
"235","9685",68,1,100
"236","9689",22,1,100
"237","9692",99,1,100
"238","9701",96,1,100
"239","9706",154,1,100
"240","9707",115,1,100
"241","9723",45,1,100
"242","9732",72,1,100
"243","9737",43,1,100
"244","9738",71,1,100
"245","9740",93,1,100
"246","9741",112,1,100
"247","9746",132,1,100
"248","9747",97,1,100
"249","9754",31,1,100
"250","9756",115,1,100
"251","9757",79,1,100
"252","9776",112,1,100
"253","9777",268,1,100
"254","9778",201,1,100
"255","9808",127,1,100
"256","9813",150,1,100
"257","9946",58,1,100
"258","9947",109,1,100
"259","9965",34,1,100
"260","9966",71,1,100
"261","9967",99,1,100
"262","9972",31,1,100
"263","9980",28,1,100
"264","9988",60,1,100
"265","9990",118,1,100
"266","9991",32,1,100
"267","9993",84,1,100
